source_key,source_row_number,source_sheet,hierarchy_level,source_subtype,source_official,source_gad_status,source_name_en,source_name_my,source_parent_path,matched_coremap_id,existing_coremap_path,existing_canonical_name,existing_parent_id,target_parent_coremap_id,target_parent_path,action,confidence,name_evidence,hierarchy_evidence,spatial_evidence,preserve_existing_geom,manual_review_reason,review_notes,candidate_coremap_ids,mimu_comparison_geometry_available,audit_only_source_pcode,audit_only_parent_pcode
01_SR:2,2,01_SR,state_region,,True,Active,Kachin,ကချင်ပြည်နယ်,state_region:MMR001:Kachin,6667,country:11:မြန်မာ > state_region:6667:ကချင်ပြည်နယ်,ကချင်ပြည်နယ်,11,11,country:11:မြန်မာ,update_name,95,bilingual_exact_under_parent,strict_parent_core=11;strict_candidate_pool=17,rank=1;source_point_in_core=t;core_point_in_source=t;distance_m=176.94;core_id=6667,True,,Parent matches; primary English/Myanmar names differ from source,6667,True,MMR001,
01_SR:3,3,01_SR,state_region,,True,Active,Kayah,ကယားပြည်နယ်,state_region:MMR002:Kayah,6007,country:11:မြန်မာ > state_region:6007:ကယားပြည်နယ်,ကယားပြည်နယ်,11,11,country:11:မြန်မာ,update_name,95,bilingual_exact_under_parent,strict_parent_core=11;strict_candidate_pool=17,rank=1;source_point_in_core=t;core_point_in_source=t;distance_m=142.21;core_id=6007,True,,Parent matches; primary English/Myanmar names differ from source,6007,True,MMR002,
01_SR:4,4,01_SR,state_region,,True,Active,Kayin,ကရင်ပြည်နယ်,state_region:MMR003:Kayin,5879,country:11:မြန်မာ > state_region:5879:ကရင်ပြည်နယ်,ကရင်ပြည်နယ်,11,11,country:11:မြန်မာ,update_name,95,bilingual_exact_under_parent,strict_parent_core=11;strict_candidate_pool=17,rank=1;source_point_in_core=t;core_point_in_source=t;distance_m=38.05;core_id=5879,True,,Parent matches; primary English/Myanmar names differ from source,5879,True,MMR003,
01_SR:5,5,01_SR,state_region,,True,Active,Chin,ချင်းပြည်နယ်,state_region:MMR004:Chin,6744,country:11:မြန်မာ > state_region:6744:ချင်းပြည်နယ်,ချင်းပြည်နယ်,11,11,country:11:မြန်မာ,update_name,95,bilingual_exact_under_parent,strict_parent_core=11;strict_candidate_pool=17,rank=1;source_point_in_core=t;core_point_in_source=t;distance_m=136.47;core_id=6744,True,,Parent matches; primary English/Myanmar names differ from source,6744,True,MMR004,
01_SR:6,6,01_SR,state_region,,True,Active,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,state_region:MMR005:Sagaing,6703,country:11:မြန်မာ > state_region:6703:စစ်ကိုင်းတိုင်းဒေသကြီး,စစ်ကိုင်းတိုင်းဒေသကြီး,11,11,country:11:မြန်မာ,update_name,95,bilingual_exact_under_parent,strict_parent_core=11;strict_candidate_pool=17,rank=1;source_point_in_core=t;core_point_in_source=t;distance_m=379.25;core_id=6703,True,,Parent matches; primary English/Myanmar names differ from source,6703,True,MMR005,
01_SR:7,7,01_SR,state_region,,True,Active,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,state_region:MMR006:Tanintharyi,7449,country:11:မြန်မာ > state_region:7449:တနင်္သာရီတိုင်း,တနင်္သာရီတိုင်း,11,11,country:11:မြန်မာ,update_name,95,normalized_en_under_parent,strict_parent_core=11;strict_candidate_pool=17,rank=1;source_point_in_core=t;core_point_in_source=f;distance_m=64592.57;core_id=7449,True,,Parent matches; primary English/Myanmar names differ from source,7449,True,MMR006,
01_SR:8,8,01_SR,state_region,,False,N/A,Bago (East),ပဲခူးတိုင်းဒေသကြီး (အရှေ့),state_region:MMR007:Bago (East),,,,,11,country:11:မြန်မာ,mark_reference_only,100,none,strict_parent_core=11;strict_candidate_pool=17,none,False,,Non-official MIMU row with no CoreMap match; do not create official placeholder,,False,MMR007,
01_SR:9,9,01_SR,state_region,,False,N/A,Bago (West),ပဲခူးတိုင်းဒေသကြီး (အနောက်),state_region:MMR008:Bago (West),,,,,11,country:11:မြန်မာ,mark_reference_only,100,none,strict_parent_core=11;strict_candidate_pool=17,none,False,,Non-official MIMU row with no CoreMap match; do not create official placeholder,,False,MMR008,
01_SR:10,10,01_SR,state_region,,True,Active,Magway,မကွေးတိုင်းဒေသကြီး,state_region:MMR009:Magway,7027,country:11:မြန်မာ > state_region:7027:မကွေးတိုင်းဒေသကြီး,မကွေးတိုင်းဒေသကြီး,11,11,country:11:မြန်မာ,update_name,95,bilingual_exact_under_parent,strict_parent_core=11;strict_candidate_pool=17,rank=1;source_point_in_core=t;core_point_in_source=t;distance_m=460.67;core_id=7027,True,,Parent matches; primary English/Myanmar names differ from source,7027,True,MMR009,
01_SR:11,11,01_SR,state_region,,True,Active,Mandalay,မန္တလေးတိုင်းဒေသကြီး,state_region:MMR010:Mandalay,6832,country:11:မြန်မာ > state_region:6832:မန္တလေးတိုင်း,မန္တလေးတိုင်း,11,11,country:11:မြန်မာ,update_name,95,normalized_en_under_parent,strict_parent_core=11;strict_candidate_pool=17,rank=1;source_point_in_core=t;core_point_in_source=t;distance_m=0.00;core_id=6832,True,,Parent matches; primary English/Myanmar names differ from source,6832,True,MMR010,
