duplicate_kind,source_key,source_level,source_name_en,source_name_my,parent_path,coremap_ids,review_reason
multiple_core_candidates_for_one_source,_05_Ward:2061,ward_village_tract,Aye Mya Wa Di Ward,ဧမြဝတီရပ်ကွက်,state_region:MMR005:Sagaing > district:MMR005D001:Sagaing > township:MMR005001:Sagaing > ward_village_tract:MMR005001701502:Aye Mya Wa Di Ward,6849;6853,"Multiple plausible CoreMap candidates under matched hierarchy scope: 6849,6853"
multiple_core_candidates_for_one_source,_05_Ward:2132,ward_village_tract,Ma Har Myaing Ward,မဟာမြိုင်ရပ်ကွက်,state_region:MMR005:Sagaing > district:MMR005D002:Shwebo > township:MMR005011:Taze > ward_village_tract:MMR005011701503:Ma Har Myaing Ward,6794;6797,"Multiple plausible CoreMap candidates under matched hierarchy scope: 6794,6797"
multiple_core_candidates_for_one_source,_05_Ward:447,ward_village_tract,Gant Gaw Waing Ward,ဂန့်ဂေါ်ဝိုင်းရပ်ကွက်,state_region:MMR111:Bago > district:MMR007D001:Bago > township:MMR007008:Shwegyin > ward_village_tract:MMR007008701505:Gant Gaw Waing Ward,5891;5897,"Multiple plausible CoreMap candidates under matched hierarchy scope: 5891,5897"
multiple_core_candidates_for_one_source,_05_Ward:1447,ward_village_tract,Ngwe Taw Kyi Kone Ward,ငွေတော်ကြည်ကုန်းရပ်ကွက်,state_region:MMR010:Mandalay > district:MMR010D001:Mandalay > township:MMR010005:Pyigyitagon > ward_village_tract:MMR010005701502:Ngwe Taw Kyi Kone Ward,6211;6212,"Multiple plausible CoreMap candidates under matched hierarchy scope: 6211,6212"
multiple_core_candidates_for_one_source,_05_Ward:1488,ward_village_tract,Zay Ward,ဈေးရပ်ကွက်,state_region:MMR010:Mandalay > district:MMR010D004:Myingyan > township:MMR010018:Taungtha > ward_village_tract:MMR010018701504:Zay Ward,6907;6908,"Multiple plausible CoreMap candidates under matched hierarchy scope: 6907,6908"
multiple_core_candidates_for_one_source,_05_Ward:2944,ward_village_tract,No (105) Ward,အမှတ် (၁၀၅) ရပ်ကွက်,state_region:MMR013:Yangon > district:MMR013D002:Yangon (East) > township:MMR013018:Dagon Myothit (South) > ward_village_tract:MMR013018701525:No (105) Ward,5185;5186,"Multiple plausible CoreMap candidates under matched hierarchy scope: 5185,5186"
multiple_core_candidates_for_one_source,_05_Ward:2945,ward_village_tract,No (106) Ward,အမှတ် (၁၀၆) ရပ်ကွက်,state_region:MMR013:Yangon > district:MMR013D002:Yangon (East) > township:MMR013018:Dagon Myothit (South) > ward_village_tract:MMR013018701526:No (106) Ward,5182;5183,"Multiple plausible CoreMap candidates under matched hierarchy scope: 5182,5183"
multiple_core_candidates_for_one_source,_05_Ward:3148,ward_village_tract,Taung Bet Paing Ward,တောင်ဘက်ပိုင်းရပ်ကွက်,state_region:MMR013:Yangon > district:MMR013D003:Yangon (South) > township:MMR013029:Kungyangon > ward_village_tract:MMR013029701504:Taung Bet Paing Ward,5113;5119,"Multiple plausible CoreMap candidates under matched hierarchy scope: 5113,5119"
multiple_core_candidates_for_one_source,_05_Ward:1674,ward_village_tract,Thu Kha Theik Di Ward,သုခသိဒ္ဓိရပ်ကွက်,state_region:MMR018:Nay Pyi Taw > district:MMR018D002:Det Khi Na > township:MMR018002:Za Bu Thi Ri > ward_village_tract:MMR018002701507:Thu Kha Theik Di Ward,5117;6054,"Multiple plausible CoreMap candidates under matched hierarchy scope: 5117,6054"
multiple_core_candidates_for_one_source,_05_Ward:1670,ward_village_tract,Nyar Na Theik Di Ward,ဉာဏသိဒ္ဓိရပ်ကွက်,state_region:MMR018:Nay Pyi Taw > district:MMR018D002:Det Khi Na > township:MMR018002:Za Bu Thi Ri > ward_village_tract:MMR018002701508:Nyar Na Theik Di Ward,6012;6022,"Multiple plausible CoreMap candidates under matched hierarchy scope: 6012,6022"
multiple_core_candidates_for_one_source,_05_Ward:1666,ward_village_tract,Ba La Theik Di Ward,ဗလသိဒ္ဓိရပ်ကွက်,state_region:MMR018:Nay Pyi Taw > district:MMR018D002:Det Khi Na > township:MMR018002:Za Bu Thi Ri > ward_village_tract:MMR018002701509:Ba La Theik Di Ward,6023;6025,"Multiple plausible CoreMap candidates under matched hierarchy scope: 6023,6025"
