coremap_id,hierarchy_level,admin_area_type,canonical_name,coremap_path,parent_id,classification,action,preserve_existing_geom,review_reason,point_x,point_y,geom_md5
6378,state_region,state,ဝပြည်နယ် တောင်ပိုင်း,country:11:မြန်မာ > state_region:6378:ဝပြည်နယ် တောင်ပိုင်း,11,special_reference,mark_reference_only,True,Core-only Wa/de-facto first-level area; retain geom; exclude from official counts,99.0525929689254,20.13644585,e85b9915d1eeeb73f08ad7de3e71d5f2
6485,state_region,state,ဝပြည်နယ် မြောက်ပိုင်း,country:11:မြန်မာ > state_region:6485:ဝပြည်နယ် မြောက်ပိုင်း,11,special_reference,mark_reference_only,True,Core-only Wa/de-facto first-level area; retain geom; exclude from official counts,98.7067765910196,22.6239578,49baa1dcfb7c7fdfae9056bd93ca05e6
7279,state_region,region,ဧ​ရာဝတီတိုင်း,country:11:မြန်မာ > state_region:7279:ဧ​ရာဝတီတိုင်း,11,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,95.1446272966956,17.1086159,c0b8865a45ea26d64bc72f48f559a80b
12,district,district,သန်လျင်ခရိုင်,country:11:မြန်မာ > state_region:13:ရန်ကုန်တိုင်းဒေသကြီး > district:12:သန်လျင်ခရိုင်,13,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,96.4832603576102,16.7364033,57455ed3023476f7ff8c52ec0417bd6f
5036,district,district,ဘုတ်ပြင်းခရိုင်,country:11:မြန်မာ > state_region:7449:တနင်္သာရီတိုင်း > district:5036:ဘုတ်ပြင်းခရိုင်,7449,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,98.3118708911108,11.2196825,809201506f6c6d585b56f9356464a0cb
5134,district,district,တွံတေးခရိုင်,country:11:မြန်မာ > state_region:13:ရန်ကုန်တိုင်းဒေသကြီး > district:5134:တွံတေးခရိုင်,13,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,96.030371210609,16.61928365,aa206a6a70b109ffe55d8ebb6a4f98e0
5170,district,district,ဒဂုံမြို့သစ်ခရိုင်,country:11:မြန်မာ > state_region:13:ရန်ကုန်တိုင်းဒေသကြီး > district:5170:ဒဂုံမြို့သစ်ခရိုင်,13,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,96.2596472957992,16.90911035,5d2deaaf8ab691e18cf7bfae977fb99d
5282,district,district,သင်္ဃန်းကျွန်းခရိုင်,country:11:မြန်မာ > state_region:13:ရန်ကုန်တိုင်းဒေသကြီး > district:5282:သင်္ဃန်းကျွန်းခရိုင်,13,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,96.1850248215683,16.82855005,aec179e7f9fc3b4dab676eda78e6e07e
5310,district,district,ကမာရွတ်ခရိုင်,country:11:မြန်မာ > state_region:13:ရန်ကုန်တိုင်းဒေသကြီး > district:5310:ကမာရွတ်ခရိုင်,13,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,96.1469190761736,16.81697645,892d3059731463d6eb6dc59b2cd16480
5510,district,district,ကျောက်တံတားခရိုင်,country:11:မြန်မာ > state_region:13:ရန်ကုန်တိုင်းဒေသကြီး > district:5510:ကျောက်တံတားခရိုင်,13,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,96.1466067847244,16.78452125,1c9824add5c6fa8787982708558f9433
