postal_code,action,region_name_en,region_name_my,township_name_en,township_name_my,locality_name_en,locality_name_my,inferred_locality_type,matched_township_coremap_id,matched_local_coremap_id,match_method,confidence,source_row_count_en,source_row_count_my,duplicate_extra_source_rows,review_reason
0101001,link_local_admin,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Aye Yar Quarter,ဧရာ ရပ်ကွက်,ward,6610,6595,exact_local_under_township,95,1,1,0,Unique local admin under matched township
0101002,link_local_admin,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Thi Dar Quarter,သီတာ ရပ်ကွက်,ward,6610,6647,exact_local_under_township,95,1,1,0,Unique local admin under matched township
0101003,link_local_admin,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Yan Gyi Aung Quarter,ရန်ကြီးအောင် ရပ်ကွက်,ward,6610,6638,exact_local_under_township,95,1,1,0,Unique local admin under matched township
0101004,link_local_admin,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Du Ka Htaung Quarter,ဒူကထောင် ရပ်ကွက်,ward,6610,6646,exact_local_under_township,95,1,1,0,Unique local admin under matched township
0101005,link_local_admin,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Myo Ma Quarter,မြို့မ ရပ်ကွက်,ward,6610,6519,exact_local_under_township,95,1,1,0,Unique local admin under matched township
0101006,link_local_admin,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Min Yat Quarter,မင်းရပ် ရပ်ကွက်,ward,6610,6354,exact_local_under_township,95,1,1,0,Unique local admin under matched township
0101007,link_local_admin,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Shan Su (North) Quarter,ရှမ်းစုမြောက် ရပ်ကွက်,ward,6610,6349,exact_local_under_township,95,1,1,0,Unique local admin under matched township
0101008,link_local_admin,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Shan Su (South) Quarter,ရှမ်းစုတောင် ရပ်ကွက်,ward,6610,6636,exact_local_under_township,95,1,1,0,Unique local admin under matched township
0101009,link_local_admin,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Kachin Su Quarter,ကချင်စု ရပ်ကွက်,ward,6610,6630,exact_local_under_township,95,1,1,0,Unique local admin under matched township
0101010,link_local_admin,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Kyun Pin Thar Quarter,ကျွန်းပင်သာ ရပ်ကွက်,ward,6610,6631,exact_local_under_township,95,1,1,0,Unique local admin under matched township
