entity_type,duplicate_kind,source_pcode,region,name_en,name_my,ts_pcode,source_file,source_row,count_in_group,note
ward,repeated_source_pcode,MMR006009701508,Tanintharyi,Shwe Zin Yaw Ward,ရွှေဇင်ယော်ရပ်ကွက်,MMR006009,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,1,2,Same MIMU audit PCode appears more than once
ward,repeated_source_pcode,MMR006009701508,Tanintharyi,Shwe Zin Yaw Ward,ရွှေဇင်ယော်ရပ်ကွက်,MMR006009,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,108,2,Same MIMU audit PCode appears more than once
ward,repeated_source_pcode,MMR006009701502,Tanintharyi,Ah Nan War Ward,အဏ္ဏဝါရပ်ကွက်,MMR006009,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,2,2,Same MIMU audit PCode appears more than once
ward,repeated_source_pcode,MMR006009701502,Tanintharyi,Ah Nan War Ward,အဏ္ဏဝါရပ်ကွက်,MMR006009,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,103,2,Same MIMU audit PCode appears more than once
ward,repeated_source_pcode,MMR013042701510,Yangon,No (10) Ward-Chaw Twin Kone,အမှတ် (၁၀) ရပ်ကွက် (ချော်တွင်းကုန်း),MMR013042,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,4,7,Same MIMU audit PCode appears more than once
ward,repeated_source_pcode,MMR013042701510,Yangon,No (10) Ward-Chaw Twin Kone,အမှတ် (၁၀) ရပ်ကွက် (ချော်တွင်းကုန်း),MMR013042,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,5,7,Same MIMU audit PCode appears more than once
ward,repeated_source_pcode,MMR013042701510,Yangon,No (10) Ward-Chaw Twin Kone,အမှတ် (၁၀) ရပ်ကွက် (ချော်တွင်းကုန်း),MMR013042,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,6,7,Same MIMU audit PCode appears more than once
ward,repeated_source_pcode,MMR013042701510,Yangon,No (10) Ward-Chaw Twin Kone,အမှတ် (၁၀) ရပ်ကွက် (ချော်တွင်းကုန်း),MMR013042,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,7,7,Same MIMU audit PCode appears more than once
ward,repeated_source_pcode,MMR013042701510,Yangon,No (10) Ward-Chaw Twin Kone,အမှတ် (၁၀) ရပ်ကွက် (ချော်တွင်းကုန်း),MMR013042,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,8,7,Same MIMU audit PCode appears more than once
ward,repeated_source_pcode,MMR013042701510,Yangon,No (10) Ward-Chaw Twin Kone,အမှတ် (၁၀) ရပ်ကွက် (ချော်တွင်းကုန်း),MMR013042,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,9,7,Same MIMU audit PCode appears more than once
ward,repeated_source_pcode,MMR013042701510,Yangon,No (10) Ward-Chaw Twin Kone,အမှတ် (၁၀) ရပ်ကွက် (ချော်တွင်းကုန်း),MMR013042,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,1282,7,Same MIMU audit PCode appears more than once
ward,repeated_source_pcode,MMR012009701504,Rakhine,Myo Ma (East) Ward,မြို့မအရှေ့ရပ်ကွက်,MMR012009,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,18,2,Same MIMU audit PCode appears more than once
ward,repeated_source_pcode,MMR012009701504,Rakhine,Myo Ma (East) Ward,မြို့မအရှေ့ရပ်ကွက်,MMR012009,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,19,2,Same MIMU audit PCode appears more than once
ward,repeated_source_pcode,MMR013012701511,Yangon,(Za Myin Zwe) Ward,ဈ-ရပ်ကွက်,MMR013012,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,1059,2,Same MIMU audit PCode appears more than once
ward,repeated_source_pcode,MMR013012701511,Yangon,(Za Myin Zwe) Ward,ဈ-ရပ်ကွက်,MMR013012,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,1061,2,Same MIMU audit PCode appears more than once
ward,repeated_source_pcode,MMR005011701503,Sagaing,Ma Har Myaing Ward,မဟာမြိုင်ရပ်ကွက်,MMR005011,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,1589,2,Same MIMU audit PCode appears more than once
ward,repeated_source_pcode,MMR005011701503,Sagaing,Ma Har Myaing Ward,မဟာမြိုင်ရပ်ကွက်,MMR005011,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,1611,2,Same MIMU audit PCode appears more than once
ward,repeated_source_pcode,MMR014005702507,Shan (South),No (3) Ward,အမှတ် (၃) ရပ်ကွက်,MMR014005,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,1811,2,Same MIMU audit PCode appears more than once
ward,repeated_source_pcode,MMR014005702507,Shan (South),No (3) Ward,အမှတ် (၃) ရပ်ကွက်,MMR014005,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,1996,2,Same MIMU audit PCode appears more than once
ward,repeated_source_pcode,MMR013029701504,Yangon,Taung Bet Paing Ward,တောင်ဘက်ပိုင်းရပ်ကွက်,MMR013029,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,1840,2,Same MIMU audit PCode appears more than once
