entity_type,status,region,source_pcode,name_en,name_my,ts_pcode,vt_pcode,source_file,source_row,reasons,flags,lon,lat
village_tract,flagged,Ayeyarwady,MMR017013903,,,MMR017013,,village_tract_boundary_Ayeyarwady_v94.zip:mmr_ady_polbnda_adm4_mimu_250k.shp,112,outside_source_township,missing_name|outside_source_township,94.95416901,17.92743650
village_tract,flagged,Ayeyarwady,MMR017012902,,,MMR017012,,village_tract_boundary_Ayeyarwady_v94.zip:mmr_ady_polbnda_adm4_mimu_250k.shp,192,outside_source_township,missing_name|outside_source_township,94.95148698,18.28785771
village_tract,flagged,Ayeyarwady,MMR017010901,,,MMR017010,,village_tract_boundary_Ayeyarwady_v94.zip:mmr_ady_polbnda_adm4_mimu_250k.shp,229,outside_source_township,missing_name|outside_source_township,94.88167241,17.60296941
village_tract,flagged,Ayeyarwady,MMR017011901,,,MMR017011,,village_tract_boundary_Ayeyarwady_v94.zip:mmr_ady_polbnda_adm4_mimu_250k.shp,269,outside_source_township,missing_name|outside_source_township,94.96909424,18.03536029
village_tract,flagged,Ayeyarwady,MMR017016110,Kaing Thaung,ကိုင်းသောင်,MMR017016,,village_tract_boundary_Ayeyarwady_v94.zip:mmr_ady_polbnda_adm4_mimu_250k.shp,410,outside_source_township,outside_source_township,95.04340084,15.73018406
village_tract,flagged,Ayeyarwady,MMR017018040,Kyet Shar,ကြက်ရှာ,MMR017018,,village_tract_boundary_Ayeyarwady_v94.zip:mmr_ady_polbnda_adm4_mimu_250k.shp,535,outside_source_township,outside_source_township,95.23284098,16.17516128
village_tract,flagged,Ayeyarwady,MMR017018107,Yae Twin Kone,ရေတွင်းကုန်း,MMR017018,,village_tract_boundary_Ayeyarwady_v94.zip:mmr_ady_polbnda_adm4_mimu_250k.shp,630,outside_source_township,outside_source_township,95.04116640,16.08844309
village_tract,flagged,Ayeyarwady,MMR017004071,Hpaung Doe,ဖေါင်ဒိုး,MMR017004,,village_tract_boundary_Ayeyarwady_v94.zip:mmr_ady_polbnda_adm4_mimu_250k.shp,1379,outside_source_township,outside_source_township,94.23315635,16.17835505
village_tract,flagged,Ayeyarwady,MMR017001040,Kan Gyi,ကံကြီး,MMR017001,,village_tract_boundary_Ayeyarwady_v94.zip:mmr_ady_polbnda_adm4_mimu_250k.shp,1467,outside_source_township,outside_source_township,94.52754397,16.93041781
village_tract,flagged,Ayeyarwady,MMR017001044,Ma Gyi Zin,မကျီးဇင်,MMR017001,,village_tract_boundary_Ayeyarwady_v94.zip:mmr_ady_polbnda_adm4_mimu_250k.shp,1481,outside_source_township,outside_source_township,94.59743057,17.39289474
