target_schema,target_table,source_schema,source_table,constraint_name,source_columns,delete_action
core,core_admin_areas,app,user_saved_places,user_saved_places_admin_area_id_fkey,admin_area_id,set_null
core,core_admin_areas,app_auth,auth_users,auth_users_primary_region_id_fkey,primary_region_id,set_null
core,core_admin_areas,core,core_addresses,core_addresses_admin_area_id_fkey,admin_area_id,no_action
core,core_admin_areas,core,core_admin_area_names,core_admin_area_names_admin_area_id_fkey,admin_area_id,no_action
core,core_admin_areas,core,core_admin_areas,core_admin_areas_parent_id_fkey,parent_id,no_action
core,core_admin_areas,core,core_buildings,core_buildings_admin_area_id_fkey,admin_area_id,no_action
core,core_admin_areas,core,core_land_areas,core_land_areas_admin_area_id_fkey,admin_area_id,no_action
core,core_admin_areas,core,core_places,core_places_admin_area_id_fkey,admin_area_id,no_action
core,core_admin_areas,core,core_protected_areas,core_protected_areas_admin_area_id_fkey,admin_area_id,no_action
core,core_admin_areas,core,core_settlements,core_settlements_township_id_fkey,township_id,no_action
core,core_admin_areas,core,core_streets,core_streets_admin_area_id_fkey,admin_area_id,no_action
core,core_admin_areas,feedback,user_reports,user_reports_admin_area_id_fkey,admin_area_id,set_null
core,core_admin_areas,ref,ref_postal_codes,ref_postal_codes_local_admin_area_id_fkey,local_admin_area_id,set_null
core,core_admin_areas,ref,ref_postal_codes,ref_postal_codes_township_admin_area_id_fkey,township_admin_area_id,set_null
core,core_admin_areas,search,address_index,address_index_admin_area_id_fkey,admin_area_id,set_null
core,core_admin_areas,tourism,activities,activities_admin_area_id_fkey,admin_area_id,restrict
core,core_admin_areas,tourism,advisories,advisories_admin_area_id_fkey,admin_area_id,restrict
core,core_admin_areas,tourism,events,events_admin_area_id_fkey,admin_area_id,restrict
core,core_admin_areas,tourism,foods,foods_admin_area_id_fkey,admin_area_id,restrict
core,core_admin_areas,tourism,local_guides,local_guides_admin_area_id_fkey,admin_area_id,restrict
core,core_admin_areas,tourism,research_candidates,research_candidates_admin_area_id_fkey,admin_area_id,restrict
core,core_admin_areas,transport,infrastructure_lines,infrastructure_lines_admin_area_id_fkey,admin_area_id,no_action
core,core_admin_areas,transport,routes,routes_destination_admin_area_id_fkey,destination_admin_area_id,no_action
core,core_admin_areas,transport,routes,routes_origin_admin_area_id_fkey,origin_admin_area_id,no_action
core,core_admin_areas,transport,stops,stops_admin_area_id_fkey,admin_area_id,no_action
core,core_admin_areas,transport,terminals,terminals_admin_area_id_fkey,admin_area_id,no_action
