source_entity_type,source_pcode,source_name_en,source_name_my,source_region,source_ts_pcode,source_ts_name,source_st_name,source_parent_path,source_file,source_row,approved_township_id,matched_coremap_id,matched_public_id,matched_canonical_name,matched_type,matched_parent_id,action,confidence,preserve_existing_geom,name_evidence,spatial_evidence,candidate_coremap_ids,manual_review_reason,review_notes
ward,MMR009001701515,Aung Myit Tar Ward,အောင်မေတ္တာရပ်ကွက်,Magway,MMR009001,Magway,Magway,Magway > Magway > Magway > Magway Town,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,81,7072,,,,,,manual_review,45,true,no_exact_name,7015:overlap=0.000;dist_m=2002.4,7015,Spatial-only candidate blocked (do not merge by geometry alone),
ward,MMR009001701516,Aung Say Ta Nar Ward,အောင်စေတနာရပ်ကွက်,Magway,MMR009001,Magway,Magway,Magway > Magway > Magway > Magway Town,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,82,7072,,,,,,manual_review,45,true,no_exact_name,7015:overlap=0.000;dist_m=2179.7,7015,Spatial-only candidate blocked (do not merge by geometry alone),
ward,MMR009001701514,Aung Min Ga Lar Ward,အောင်မင်္ဂလာရပ်ကွက်,Magway,MMR009001,Magway,Magway,Magway > Magway > Magway > Magway Town,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,86,7072,,,,,,manual_review,45,true,no_exact_name,7010:overlap=0.000;dist_m=2419.8,7010,Spatial-only candidate blocked (do not merge by geometry alone),
ward,MMR009001701512,Aung Ya Ta Nar Ward,အောင်ရတနာရပ်ကွက်,Magway,MMR009001,Magway,Magway,Magway > Magway > Magway > Magway Town,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,89,7072,,,,,,manual_review,45,true,no_exact_name,7013:overlap=0.001;dist_m=1860.6,7013,Spatial-only candidate blocked (do not merge by geometry alone),
ward,MMR017020701503,Ah Nauk Paing Ward,အနောက်ပိုင်းရပ်ကွက်,Ayeyarwady,MMR017020,Pantanaw,Ayeyarwady,Ayeyarwady > Maubin > Pantanaw > Pantanaw Town,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,369,7332,,,,,,manual_review,45,true,no_exact_name,7331:overlap=0.000;dist_m=696.2,7331,Spatial-only candidate blocked (do not merge by geometry alone),
ward,MMR017020701502,Ah Lel Paing Ward,အလယ်ပိုင်းရပ်ကွက်,Ayeyarwady,MMR017020,Pantanaw,Ayeyarwady,Ayeyarwady > Maubin > Pantanaw > Pantanaw Town,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,370,7332,,,,,,manual_review,45,true,no_exact_name,7331:overlap=0.000;dist_m=806.6,7331,Spatial-only candidate blocked (do not merge by geometry alone),
ward,MMR017020701501,Ah Shey Paing Ward,အရှေ့ပိုင်းရပ်ကွက်,Ayeyarwady,MMR017020,Pantanaw,Ayeyarwady,Ayeyarwady > Maubin > Pantanaw > Pantanaw Town,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,371,7332,,,,,,manual_review,45,true,no_exact_name,7331:overlap=0.000;dist_m=1691.3,7331,Spatial-only candidate blocked (do not merge by geometry alone),
ward,MMR005001701502,Aye Mya Wa Di Ward,ဧမြဝတီရပ်ကွက်,Sagaing,MMR005001,Sagaing,Sagaing,Sagaing > Sagaing > Sagaing > Sagaing Town,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,434,6831,,,,,,merge_duplicate_candidate,55,true,exact_my+en,6849:overlap=1.000;dist_m=0.0|6853:overlap=1.000;dist_m=0.0,6849;6853,Multiple CoreMap WVT rows share exact normalized name under township,
ward,MMR011001701526,Naung Kha Ri Ward,နောင်ခရီရပ်ကွက်,Mon,MMR011001,Mawlamyine,Mon,Mon > Mawlamyine > Mawlamyine > Mawlamyine Town,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,506,5070,,,,,,manual_review,45,true,no_exact_name,5087:overlap=0.000;dist_m=2077.9,5087,Spatial-only candidate blocked (do not merge by geometry alone),
ward,MMR013002701514,Kyan Khin Su Ward,ကြံခင်းစုရပ်ကွက်,Yangon,MMR013002,Mingaladon,Yangon,Yangon > Yangon (North) > Mingaladon > Mingaladon,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,1043,5801,,,,,,manual_review,45,true,no_exact_name,5783:overlap=0.000;dist_m=1394.6,5783,Spatial-only candidate blocked (do not merge by geometry alone),
ward,MMR013018701526,No (106) Ward,အမှတ် (၁၀၆) ရပ်ကွက်,Yangon,MMR013018,Dagon Myothit (South),Yangon,Yangon > Yangon (East) > Dagon Myothit (South) > Dagon Myothit (South) Town,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,1133,5231,,,,,,merge_duplicate_candidate,55,true,exact_my+en,5182:overlap=1.000;dist_m=0.0|5183:overlap=1.000;dist_m=0.0,5182;5183,Multiple CoreMap WVT rows share exact normalized name under township,
ward,MMR013018701525,No (105) Ward,အမှတ် (၁၀၅) ရပ်ကွက်,Yangon,MMR013018,Dagon Myothit (South),Yangon,Yangon > Yangon (East) > Dagon Myothit (South) > Dagon Myothit (South) Town,ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,1134,5231,,,,,,merge_duplicate_candidate,55,true,exact_my+en,5185:overlap=1.000;dist_m=0.0|5186:overlap=1.000;dist_m=0.0,5185;5186,Multiple CoreMap WVT rows share exact normalized name under township,
ward,MMR013021701532,No (149) Ward,အမှတ် (၁၄၉) ရပ်ကွက်,Yangon,MMR013021,Dagon Myothit (Seikkan),Yangon,Yangon > Yangon (East) > Dagon Myothit (Seikkan) > Dagon Myothit (Seikkan),ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,1213,5213,,,,,,manual_review,45,true,no_exact_name,5187:overlap=0.000;dist_m=2277.9,5187,Spatial-only candidate blocked (do not merge by geometry alone),
ward,MMR013021701534,No (151) Ward,အမှတ် (၁၅၁) ရပ်ကွက်,Yangon,MMR013021,Dagon Myothit (Seikkan),Yangon,Yangon > Yangon (East) > Dagon Myothit (Seikkan) > Dagon Myothit (Seikkan),ward_boundary_countrywide_v94.zip:mmr_polbnda_adm5_mimu_v9_4.shp,1227,5213,,,,,,manual_review,45,true,no_exact_name,5187:overlap=0.000;dist_m=2210.3,5187,Spatial-only candidate blocked (do not merge by geometry alone),
