source_ts_pcode,source_ts_name,source_st_pcode,source_st_name,source_dt_pcode,source_dt_name,boundary_count,village_count,status,core_township_id,core_public_id,core_canonical_name,match_method,candidate_coremap_ids,evidence,review_reason
MMR001001,Myitkyina,MMR001,Kachin,MMR001D001,Myitkyina,63,67,mapped,6610,96224d14-78b1-4bb9-84b2-c1fc64d41b95,မြစ်ကြီးနား,name,6610,exact_normalized_en=[6610]|spatial_support=6610:1.00;6623:0.10;6660:0.01,
MMR001002,Waingmaw,MMR001,Kachin,MMR001D001,Myitkyina,48,155,mapped,6623,ba395666-afb8-486b-856c-2240e02e0ab1,ဝိုင်းမော်,name,6623,exact_normalized_en=[6623]|spatial_support=6623:1.00;6610:0.09,
MMR001003,Injangyang,MMR001,Kachin,MMR001D001,Myitkyina,63,77,mapped,6668,95a2ca52-9e38-4045-9e00-334771a534ae,အင်ဂျန်းယန်,name,6668,exact_normalized_en=[6668]|spatial_support=6668:1.00,
MMR001004,Tanai,MMR001,Kachin,MMR001D001,Myitkyina,12,19,mapped,6666,1e399fef-fd78-4c8d-81f9-180a0d01b05d,တနိုင်း,name,6666,exact_normalized_en=[6666]|spatial_support=6666:1.00,
MMR001005,Chipwi,MMR001,Kachin,MMR001D001,Myitkyina,44,69,mapped,6690,93c52e90-af03-420b-aea3-2a4ae723f1e1,ချီ​ဖွေ,name,6690,exact_normalized_en=[6690]|spatial_support=6690:1.00;6668:0.01;6688:0.01,
MMR001006,Tsawlaw,MMR001,Kachin,MMR001D001,Myitkyina,26,63,mapped,6688,f29af43f-7f83-43a5-b063-d3d12aa760e4,ဆော့လော်,name,6688,exact_normalized_en=[6688]|spatial_support=6688:1.00;6690:0.06;6668:0.01,
MMR001007,Mohnyin,MMR001,Kachin,MMR001D002,Mohnyin,44,127,mapped,6601,9acfdc84-eb1f-4200-a298-8fa0c523e65a,မိုးညှင်း,name,6601,exact_normalized_en=[6601]|spatial_support=6601:1.00,
MMR001008,Mogaung,MMR001,Kachin,MMR001D002,Mohnyin,50,69,mapped,6660,00bb5083-77f4-4aa5-8a54-ba210d766395,မိုးကောင်း,name,6660,exact_normalized_en=[6660]|spatial_support=6660:1.00;6610:0.02;6601:0.01,
MMR001009,Hpakant,MMR001,Kachin,MMR001D002,Mohnyin,16,90,mapped,6664,23ff19df-3432-41d1-a5f7-f6aac6997004,ဖားကန့်,name,6664,exact_normalized_en=[6664]|spatial_support=6664:1.00;6660:0.03,
MMR001010,Bhamo,MMR001,Kachin,MMR001D003,Bhamo,45,72,mapped,6612,dfe77f04-45f5-47d4-9bb9-55c25c4c0e23,ဗန်းမော်,name,6612,exact_normalized_en=[6612]|spatial_support=6612:1.00;6593:0.07,
MMR001011,Shwegu,MMR001,Kachin,MMR001D003,Bhamo,33,79,mapped,6589,ea3b5bf4-dfea-43ee-8561-3db7758b098e,ရွှေကူ,name,6589,exact_normalized_en=[6589]|spatial_support=6589:1.00;6612:0.01,
MMR001012,Momauk,MMR001,Kachin,MMR001D003,Bhamo,59,155,mapped,6593,9cd1afaa-7da3-4888-94bd-620bc717726e,မိုးမောက်,name,6593,exact_normalized_en=[6593]|spatial_support=6593:1.00;6612:0.03,
MMR001013,Mansi,MMR001,Kachin,MMR001D003,Bhamo,45,122,mapped,6584,7a674913-c9d6-443f-8c1a-a9b3a4eff384,မံစီ,name,6584,exact_normalized_en=[6584]|spatial_support=6584:1.00;6599:0.07;6612:0.06,
MMR001014,Puta-O,MMR001,Kachin,MMR001D004,Puta-O,17,106,mapped,6685,505814e4-7afc-4d8a-aab2-96607200bf17,ပူတာအို,name,6685,exact_normalized_en=[6685]|spatial_support=6685:1.00,
MMR001015,Sumprabum,MMR001,Kachin,MMR001D004,Puta-O,41,79,mapped,6669,b0c4f113-21e5-4b70-a754-3843617e2eda,ဆွမ်ပရာဘွမ်,name,6669,exact_normalized_en=[6669]|spatial_support=6669:1.00,
MMR001016,Machanbaw,MMR001,Kachin,MMR001D004,Puta-O,20,33,mapped,6686,4207b38e-0d5f-4e42-b071-b612145829ea,မချမ်းဘော,name,6686,exact_normalized_en=[6686]|spatial_support=6686:1.00;6685:0.04,
MMR001017,Nawngmun,MMR001,Kachin,MMR001D004,Puta-O,15,38,mapped,6681,39aca498-4c51-49b3-ae50-50cc7ef46888,နောင်မွန်း,name,6681,exact_normalized_en=[6681]|spatial_support=6681:1.00;6686:0.03,
MMR001018,Khaunglanhpu,MMR001,Kachin,MMR001D004,Puta-O,25,140,mapped,6687,096f8dca-1a90-4741-a264-840963b4794f,ခေါင်လန်ဖူး,name,6687,exact_normalized_en=[6687]|spatial_support=6687:1.00,
MMR002001,Loikaw,MMR002,Kayah,MMR002D001,Loikaw,15,103,mapped,5997,5632cab6-82ff-453a-b4bf-724c50230562,လွိုင်ကော်,name,5997,exact_normalized_en=[5997]|spatial_support=5997:1.00;6015:0.04;5998:0.01,
MMR002002,Demoso,MMR002,Kayah,MMR002D001,Loikaw,27,164,mapped,6015,6feb9a2a-9848-4841-9231-f4b29c9b0594,ဒီးမော့ဆို,name,6015,exact_normalized_en=[6015]|spatial_support=6015:1.00;5997:0.17;6039:0.03;6013:0.01,
MMR002003,Hpruso,MMR002,Kayah,MMR002D001,Loikaw,20,113,mapped,6013,c8f052d2-9679-446a-91a2-281d7e25797a,ဖရူဆို,name,6013,exact_normalized_en=[6013]|spatial_support=6013:1.00;6015:0.10;5997:0.01;6018:0.01,
MMR002004,Shadaw,MMR002,Kayah,MMR002D001,Loikaw,8,16,mapped,5998,8e325bbd-9ac1-4887-9c52-3a166896b0a0,ရှားတော,name,5998,exact_normalized_en=[5998]|spatial_support=5998:0.96;5997:0.15;6092:0.04;6015:0.01,
MMR002005,Bawlake,MMR002,Kayah,MMR002D002,Bawlake,10,18,mapped,6006,0a75da9d-650b-4084-9851-235afc2b7bc8,ဘောလခဲ,name,6006,exact_normalized_en=[6006]|spatial_support=6006:0.96;6013:0.04;5972:0.03;6015:0.02,
MMR002006,Hpasawng,MMR002,Kayah,MMR002D002,Bawlake,11,41,mapped,5972,f701c4a8-a922-45c0-b723-528306287ea5,ဖားဆောင်း,name,5972,exact_normalized_en=[5972]|spatial_support=5972:1.00;5962:0.01,
MMR002007,Mese,MMR002,Kayah,MMR002D002,Bawlake,7,14,mapped,5962,8b8bb612-a137-4048-85fa-7cf344633cb9,မယ်စဲ့,name,5962,exact_normalized_en=[5962]|spatial_support=5962:1.00;5972:0.01,
MMR003001,Hpa-An,MMR003,Kayin,MMR003D001,Hpa-An,101,364,mapped,5877,181c660c-5b50-4037-9501-8d5290fdf60b,ဘားအံ,name,5877,exact_normalized_en=[5877]|spatial_support=5877:1.00;5070:0.04;5053:0.01;5098:0.01;5881:0.01,
MMR003002,Hlaingbwe,MMR003,Kayin,MMR003D001,Hpa-An,77,286,mapped,5880,6d850154-f201-4725-b742-0d2e26b3b98f,လှိုင်းဘွဲ့,name,5880,exact_normalized_en=[5880]|spatial_support=5880:1.00;5877:0.04,
MMR003003,Hpapun,MMR003,Kayin,MMR003D004,Hpapun,35,138,mapped,5978,f646fae8-f401-4af2-a4e3-a3adfb6b798d,ဖာပွန်,name,5978,exact_normalized_en=[5978]|spatial_support=5978:1.00;5920:0.01,
MMR003004,Thandaunggyi,MMR003,Kayin,MMR003D001,Hpa-An,63,232,mapped,6018,50cf5e9a-8f0f-4eb2-b870-93ac4354ea7b,သံတောင်ကြီး,name,6018,exact_normalized_en=[6018]|spatial_support=6018:1.00;5971:0.01;6038:0.01;6039:0.01,
MMR003005,Myawaddy,MMR003,Kayin,MMR003D002,Myawaddy,21,56,mapped,5033,273b9ffe-f0b3-408a-a091-ac81bfd57981,မြဝတီ,name,5033,exact_normalized_en=[5033]|spatial_support=5033:1.00,
MMR003006,Kawkareik,MMR003,Kayin,MMR003D003,Kawkareik,55,208,mapped,5030,0c1e0422-330d-4f9e-b926-17fd75d00a9c,ကော့ကရိတ်,name,5030,exact_normalized_en=[5030]|spatial_support=5030:1.00;5098:0.04;5033:0.01;5070:0.01,
MMR003007,Kyainseikgyi,MMR003,Kayin,MMR003D003,Kawkareik,60,207,mapped,7502,3fa70d2c-1c6b-4fd3-bf26-ac089771f85a,ကြာအင်းဆိပ်ကြီး,name,7502,exact_normalized_en=[7502]|spatial_support=7502:1.00;5033:0.01;5108:0.01,
MMR004001,Falam,MMR004,Chin,MMR004D001,Falam,91,176,mapped,6739,8e6d8096-1fd2-45cf-bd3b-615123e89025,ဖလမ်း,name,6739,exact_normalized_en=[6739]|spatial_support=6739:1.00;6718:0.01,
MMR004002,Hakha,MMR004,Chin,MMR004D003,Hakha,31,67,mapped,6743,70cdaaf1-3d52-4cde-86e8-2f1f8b622f49,ဟားခါး,name,6743,exact_normalized_en=[6743]|spatial_support=6743:1.00;6809:0.03;6745:0.01,
MMR004003,Thantlang,MMR004,Chin,MMR004D003,Hakha,38,87,mapped,6745,cc89cf83-55dc-4c9b-9286-69178c26c4d1,ထန်တလန်,name,6745,exact_normalized_en=[6745]|spatial_support=6745:1.00,
MMR004004,Tedim,MMR004,Chin,MMR004D001,Falam,60,134,mapped,6718,6d0a56e1-51d5-454b-aad5-d8bccd6003d3,တီးတိန်,name,6718,exact_normalized_en=[6718]|spatial_support=6718:1.00;6739:0.07;6741:0.01,
MMR004005,Tonzang,MMR004,Chin,MMR004D001,Falam,33,96,mapped,6712,f3446bb2-ea07-4eb5-9bf0-8f33131827c2,တွန်းဇန်,name,6712,exact_normalized_en=[6712]|spatial_support=6712:1.00;6718:0.01,
MMR004006,Mindat,MMR004,Chin,MMR004D002,Mindat,51,178,mapped,6943,a3d8d95b-e0c8-4973-848a-b62ebf542d3d,မင်းတပ်,name,6943,exact_normalized_en=[6943]|spatial_support=6943:1.00;6927:0.01,
MMR004007,Matupi,MMR004,Chin,MMR004D002,Mindat,69,143,mapped,6922,7edf813a-edf2-48cd-8c2e-aa6fd19e3e18,မတူပီ,name,6922,exact_normalized_en=[6922]|spatial_support=6922:1.00,
MMR004008,Kanpetlet,MMR004,Chin,MMR004D002,Mindat,28,107,mapped,6949,673e6f08-eaff-477b-bc3a-681598f36223,ကန်ပက်လက်,name,6949,exact_normalized_en=[6949]|spatial_support=6949:0.98;6926:0.06;7026:0.02,
MMR004009,Paletwa,MMR004,Chin,MMR004D002,Mindat,100,385,mapped,6941,02191b8a-704d-444d-9c61-2fd279e40ed1,ပလက်ဝ,name,6941,exact_normalized_en=[6941]|spatial_support=6941:1.00;6960:0.01;6922:0.01;6949:0.01,
MMR005001,Sagaing,MMR005,Sagaing,MMR005D001,Sagaing,97,168,mapped,6831,a3fe95b9-754b-4041-ace9-f5f407d1153d,စစ်ကိုင်း,name,6831,exact_normalized_en=[6831]|spatial_support=6831:1.00;6535:0.18;6237:0.17;6259:0.17;6203:0.17,
MMR005002,Myinmu,MMR005,Sagaing,MMR005D001,Sagaing,53,87,mapped,6829,75ff8eac-0302-4945-afb3-31c823ae50ff,မြင်းမူ,name,6829,exact_normalized_en=[6829]|spatial_support=6829:1.00;6862:0.12;6857:0.09;6831:0.06;6822:0.04,
MMR005003,Myaung,MMR005,Sagaing,MMR005D001,Sagaing,49,78,mapped,6875,9afca375-72dc-417a-8052-fd32bbaa72f8,မြောင်,name,6875,exact_normalized_en=[6875]|spatial_support=6875:1.00;6862:0.17;6883:0.17;6888:0.12;6857:0.07,
MMR005004,Shwebo,MMR005,Sagaing,MMR005D002,Shwebo,74,169,mapped,6786,80600f77-5563-49a6-ac6f-9ee0397b8459,ရွှေဘို,name,6786,exact_normalized_en=[6786]|spatial_support=6786:1.00;6783:0.12;6828:0.07;6550:0.03;6825:0.01,
MMR005005,Khin-U,MMR005,Sagaing,MMR005D002,Shwebo,65,145,mapped,6783,116ebe5a-45fc-4111-9936-20de2e5079a3,ခင်ဦး,name,6783,exact_normalized_en=[6783]|spatial_support=6783:1.00;6786:0.10,
MMR005006,Wetlet,MMR005,Sagaing,MMR005D002,Shwebo,73,224,mapped,6828,51cb6164-a342-4820-9eb7-00f10f5af4a4,ဝက်လက်,name,6828,exact_normalized_en=[6828]|spatial_support=6828:1.00;6786:0.12;6825:0.03;6831:0.03;6544:0.01,
MMR005007,Kanbalu,MMR005,Sagaing,MMR005D010,Kanbalu,95,273,mapped,6762,28df4faf-3bb8-486f-bd1f-b7c8371bcee9,ကန့်ဘလူ,name,6762,exact_normalized_en=[6762]|spatial_support=6762:1.00;6783:0.05;6554:0.01;6761:0.01;6766:0.01,
