coremap_id,public_id,canonical_name,settlement_type,township_id,name_en,name_mm,lon,lat,reason
115541,b1e8ca97-3d1c-4285-b76f-b4ed5fbd4cfa,ဟွေအော,village,6385,Hway Aw,ဟွေအော,98.92557650,19.99681610,No MIMU village source matched this CoreMap settlement under an approved township
115546,9bd7021f-b8f4-4205-bfb0-52ae8fa37cb8,Khulajuv,village,6699,Khulajuv,,94.98723110,25.65766920,No MIMU village source matched this CoreMap settlement under an approved township
115556,793f4ec8-5c20-43e1-ba0b-995e857d5baf,ဆားအိုးချောင်းကျေးရွာ,village,7427,,ဆားအိုးချောင်းကျေးရွာ,95.68644970,16.28926180,No MIMU village source matched this CoreMap settlement under an approved township
115557,fb8ab9e8-fd7f-4052-9238-aa3db4c25d23,အုန်းပင်ကျေးရွာ,village,7427,Ohn Pin,အုန်းပင်ကျေးရွာ,95.69010360,16.29995900,No MIMU village source matched this CoreMap settlement under an approved township
115558,a7290588-c6c3-430b-87cb-a2a60f84476d,ဘဏ်ကျွန်းကျေးရွာ,village,7427,,ဘဏ်ကျွန်းကျေးရွာ,95.69700440,16.27872420,No MIMU village source matched this CoreMap settlement under an approved township
115559,1be6e6dd-8ea7-4899-827f-5f9c930d904e,ဓမ္မာရုံ,village,5942,,ဓမ္မာရုံ,96.39542680,18.44531570,No MIMU village source matched this CoreMap settlement under an approved township
115561,5d023ca2-d6a3-471b-b7fa-e793c2948cc6,စေတီ,village,5942,Zay Di,စေတီ,96.46167990,18.40791300,No MIMU village source matched this CoreMap settlement under an approved township
115563,5786892a-4697-44e1-8ec6-6ef95bf093f1,ပိုက်ကြီးဝဲ,village,5857,Paik Gyi Wea,ပိုက်ကြီးဝဲ,96.23749390,17.08470680,No MIMU village source matched this CoreMap settlement under an approved township
115568,e702e771-bfc0-4e34-adc8-aad03e715571,ဆာဆီချောက်,village,6745,,ဆာဆီချောက်,93.13161850,22.77244220,No MIMU village source matched this CoreMap settlement under an approved township
115583,68ed5764-6f9c-43b4-a537-c20f2d74e397,သပိတ်ကုန်းကျေးရွာ,village,5857,Thapate Gone Village,သပိတ်ကုန်းကျေးရွာ,96.24104170,17.19268240,No MIMU village source matched this CoreMap settlement under an approved township
115598,43829685-a619-430a-b990-3d8fc74546c1,လေးအိမ်,village,7038,Lay Ein,လေးအိမ်,95.40998360,20.44110450,No MIMU village source matched this CoreMap settlement under an approved township
115601,415bdf9b-9ca4-4230-9ed6-eb9131962e09,မော်ရွာ,village,6950,Mo Ywar,မော်ရွာ,93.27663740,20.37065270,No MIMU village source matched this CoreMap settlement under an approved township
115602,979e31b7-642b-4e3d-8c6c-b6e3419aecda,ပိုက်သေရွာ,village,6950,Pipe Thi Ywar,ပိုက်သေရွာ,93.27239290,20.37672100,No MIMU village source matched this CoreMap settlement under an approved township
115611,52af7b7c-3ff6-415d-b229-c18940e859a6,Langban,village,6674,Langban,လန်းပန်း,95.64677210,26.64605650,No MIMU village source matched this CoreMap settlement under an approved township
115612,bce0de95-a226-41b5-8efd-3e71928d071d,ဝေးလံနောက်ကုန်း,village,6692,Woilan Nawkun,ဝေးလံနောက်ကုန်း,95.16392690,26.26420460,No MIMU village source matched this CoreMap settlement under an approved township
115616,2efb0833-eebe-4aae-8076-ff1dc1a11869,တွေးထွေနောက်ကုန်း,village,6692,Tuithoi Nuakgong,တွေးထွေနောက်ကုန်း,95.26880720,26.41537680,No MIMU village source matched this CoreMap settlement under an approved township
115650,5770fb26-7dab-4740-899b-1087373a4cd9,ဘွန်လုံး,village,6743,Buanlung,ဘွန်လုံး,93.53818670,22.49771240,No MIMU village source matched this CoreMap settlement under an approved township
115684,4642d529-f47b-4ce0-b963-c2b02a0583fa,Aika,village,6922,Aika,,93.61056450,22.17442010,No MIMU village source matched this CoreMap settlement under an approved township
115737,42897ad0-839d-4b48-a613-311bd2a19909,လှေလှော်အင်း,local_area,5857,Hlay Hlaw Inn,လှေလှော်အင်း,96.23723560,17.24709740,No MIMU village source matched this CoreMap settlement under an approved township
115743,ad626d79-29a2-4c5c-83e5-2443693e54c2,ညောင်ရမ်းမြို့မ,village,6164,Nyaung Yan Myo Ma,ညောင်ရမ်းမြို့မ,96.03980370,20.76611970,No MIMU village source matched this CoreMap settlement under an approved township
115747,977adb4f-0dbf-45f8-95de-53fbb43ab919,Langcheng,village,6692,Langcheng,,95.42190530,26.10446880,No MIMU village source matched this CoreMap settlement under an approved township
115786,d598082b-1b23-4c30-9c96-2f91dbdc0370,အထက်ပြစ်ဆိုင်,village,6707,Atet Pyit Saing,အထက်ပြစ်ဆိုင်,95.34603180,24.27854560,No MIMU village source matched this CoreMap settlement under an approved township
115787,477cc72b-f8b5-411a-93bc-d3f85bf4cb6c,အောက်ပြစ်ဆိုင်,village,6707,Auk Pyit Saing,အောက်ပြစ်ဆိုင်,95.33960870,24.27696970,No MIMU village source matched this CoreMap settlement under an approved township
115833,219879f5-8b68-4ca8-9107-b051db9fdf01,Sedaw,village,6701,Sedaw,,94.68661090,24.47112490,No MIMU village source matched this CoreMap settlement under an approved township
115844,899be2dc-435f-4dc6-83ed-16d91571e913,Saingkun,village,6701,Saingkun,,94.70990000,24.51458750,No MIMU village source matched this CoreMap settlement under an approved township
115852,c3fc0e7f-95ae-4d40-be85-269ab83be7dc,စံရွေး,village,7232,San Yway,စံရွေး,95.72554850,17.60315270,No MIMU village source matched this CoreMap settlement under an approved township
115855,e2fe84a6-d65a-44b8-a0ce-c01e599db18d,တောင်ပျိုကျေးရွာ,village,6536,Taung Pyo Village,တောင်ပျိုကျေးရွာ,96.48368330,22.08568500,No MIMU village source matched this CoreMap settlement under an approved township
115856,e1f923a0-e96f-4415-a7b2-8c0525583693,ကုန်းဘောရွာ,village,6536,Konebaw Village,ကုန်းဘောရွာ,96.53981850,22.05818600,No MIMU village source matched this CoreMap settlement under an approved township
115857,45bf2b0e-507d-483e-aec8-959f3571ee0a,ချယ်ရီရွာ,village,6536,Cherry Village,ချယ်ရီရွာ,96.49535360,22.08377130,No MIMU village source matched this CoreMap settlement under an approved township
115858,243c3e74-1fe8-4c6a-b416-dfdaf31b0cf4,ဝက်ဝံ,village,6536,Wekwin,ဝက်ဝံ,96.60283120,22.10913880,No MIMU village source matched this CoreMap settlement under an approved township
115889,ad20b7b3-c08e-410c-abf4-da71bb4f7934,Namphalong Bazar,local_area,6726,Namphalong Bazar,,94.30977180,24.24677600,No MIMU village source matched this CoreMap settlement under an approved township
115892,bc6367fc-26d9-4c61-beb7-82a5e798d130,垭口寨,village,6412,,,98.44023050,23.93720710,No MIMU village source matched this CoreMap settlement under an approved township
115893,177108fb-6051-4bc2-a10f-b3e6f430a4ba,勐乃坝,village,6412,,,98.44876530,23.94465950,No MIMU village source matched this CoreMap settlement under an approved township
115894,252c5e7c-5c4a-42ca-9057-cfee9a2650e8,ဖောင်ကျူလင်,village,6441,Hpawng Kyu Lin,ဖောင်ကျူလင်,98.74091150,23.50908120,No MIMU village source matched this CoreMap settlement under an approved township
115896,9ee36fb9-3d9c-49c3-a250-5b9bf0860ff0,မာစုပြင်ရှန်း,village,6441,Mar Su Pyin,မာစုပြင်ရှန်း,98.75194070,23.49421460,No MIMU village source matched this CoreMap settlement under an approved township
115898,79ec753a-5d44-4d61-81bc-e8d3d5070a4d,ဝါစီကျိုင်း,village,6441,War Si Keng,ဝါစီကျိုင်း,98.73803610,23.48183610,No MIMU village source matched this CoreMap settlement under an approved township
115903,623dd233-e5c1-4aac-bad2-6e8321b8522e,南控河,village,6412,,,98.47786190,23.95510690,No MIMU village source matched this CoreMap settlement under an approved township
115904,fbf25ccf-2c5a-4139-984a-24c7617b86e3,ဘတ်ရှာကုန်,village,6412,Bat Sha Kon,ဘတ်ရှာကုန်,98.44874380,23.91955990,No MIMU village source matched this CoreMap settlement under an approved township
115905,48d3bf06-8f6b-45aa-99e8-bbdc4b936ca9,小红岩,village,6412,,,98.45671530,23.92322790,No MIMU village source matched this CoreMap settlement under an approved township
115906,ebac4581-28a4-4b1a-83fd-591893b9771a,螃蟹河,village,6412,,,98.46909640,23.92452240,No MIMU village source matched this CoreMap settlement under an approved township
115913,d2416d18-f408-4c07-b0ad-522e2e8ed3fa,ရှားဆော်ပါကျိုင်း,village,6412,Shar Hsaw Par Keng,ရှားဆော်ပါကျိုင်း,98.58066670,23.91885810,No MIMU village source matched this CoreMap settlement under an approved township
115917,67b76f19-50d8-4d1e-85b5-cf37939cba3a,မန်မေ,village,6412,Man May,မန်မေ,98.56395540,23.89410720,No MIMU village source matched this CoreMap settlement under an approved township
115923,30dc2159-21e1-4c5e-9068-9eb0e4d58dd6,ရှားဝှန်းယာ,village,6412,Shar Hwan Yar,ရှားဝှန်းယာ,98.49827620,23.82185520,No MIMU village source matched this CoreMap settlement under an approved township
115924,e97842ba-b06b-42b7-a5d6-97c64031a1f6,拱撒,village,6412,,,98.51099250,23.82248920,No MIMU village source matched this CoreMap settlement under an approved township
115925,630347b0-062f-42e8-bb56-f5417d91bdb6,ဆန်ဝှန်းယာ,village,6412,Hsan Hwan Yar,ဆန်ဝှန်းယာ,98.50558520,23.82278360,No MIMU village source matched this CoreMap settlement under an approved township
