source_entity_type,source_pcode,source_name_en,source_name_my,source_alt_en,source_alt_my,source_region,source_ts_pcode,source_ts_name,source_vt_pcode,source_vt_name,source_parent_path,source_lon,source_lat,source_file,source_row,approved_township_id,matched_coremap_id,matched_public_id,matched_canonical_name,matched_type,matched_township_id,action,confidence,preserve_existing_geom,name_evidence,spatial_evidence,vt_context_evidence,candidate_coremap_ids,manual_review_reason,review_notes
village,150596,Pay Chaung,​ပေချောင်း,,,Ayeyarwady,MMR017024,Bogale,MMR017024038,Aye,Ayeyarwady > Pyapon > Bogale > Aye,95.34023285,16.24751091,village_point_Ayeyarwady_v96.zip:mmr_ady_pplp2_250k_mimu.shp,26,7376,,,,,,merge_duplicate_candidate,55,true,exact_normalized_my,119242:3140.2m|119449:239.3m|119523:1463.1m,vt_norm=aye;wvt_hits=[],119242;119449;119523,Multiple CoreMap settlements share exact normalized name under township,
village,151060,Ma Ngeit Ka Lay,မငဲ့ကလေး,,,Ayeyarwady,MMR017024,Bogale,MMR017024058,Byu Sa Khan,Ayeyarwady > Pyapon > Bogale > Byu Sa Khan,95.44457245,16.09589005,village_point_Ayeyarwady_v96.zip:mmr_ady_pplp2_250k_mimu.shp,53,7376,,,,,,merge_duplicate_candidate,55,true,exact_normalized_my,119318:70.9m|119485:16.3m,vt_norm=byusakhan;wvt_hits=[],119318;119485,Multiple CoreMap settlements share exact normalized name under township,
village,151142,Kyar,ကြား,,,Ayeyarwady,MMR017024,Bogale,MMR017024034,Chaung Hpyar (Nyi Naung),Ayeyarwady > Pyapon > Bogale > Chaung Hpyar (Nyi Naung),95.37180328,16.28080940,village_point_Ayeyarwady_v96.zip:mmr_ady_pplp2_250k_mimu.shp,71,7376,,,,,,merge_duplicate_candidate,55,true,exact_normalized_my,119108:0.0m|119183:468.4m,vt_norm=chaunghpyarnyinaung;wvt_hits=[],119108;119183,Multiple CoreMap settlements share exact normalized name under township,
village,216725,Khit San,​ခေတ်ဆန်း,,,Ayeyarwady,MMR017024,Bogale,MMR017024054,Ga Yan,Ayeyarwady > Pyapon > Bogale > Ga Yan,95.37054170,16.13664330,village_point_Ayeyarwady_v96.zip:mmr_ady_pplp2_250k_mimu.shp,80,7376,,,,,,merge_duplicate_candidate,55,true,exact_normalized_my,119102:388.6m|119398:44.6m,vt_norm=gayan;wvt_hits=[],119102;119398,Multiple CoreMap settlements share exact normalized name under township,
village,151903,Aye,အေး,,,Ayeyarwady,MMR017024,Bogale,MMR017024044,Hay Man,Ayeyarwady > Pyapon > Bogale > Hay Man,95.39067841,16.20783997,village_point_Ayeyarwady_v96.zip:mmr_ady_pplp2_250k_mimu.shp,95,7376,,,,,,merge_duplicate_candidate,55,true,exact_normalized_my,119298:6720.4m|119301:215.7m|119375:662.8m,vt_norm=hayman;wvt_hits=[],119298;119301;119375,Multiple CoreMap settlements share exact normalized name under township,
village,151914,Leik Ka Bar,လိပ်ကမ္ဘာ,,,Ayeyarwady,MMR017024,Bogale,MMR017024044,Hay Man,Ayeyarwady > Pyapon > Bogale > Hay Man,95.39910150,16.21017600,village_point_Ayeyarwady_v96.zip:mmr_ady_pplp2_250k_mimu.shp,112,7376,,,,,,merge_duplicate_candidate,55,true,exact_normalized_my,119162:1116.9m|119478:0.0m,vt_norm=hayman;wvt_hits=[],119162;119478,Multiple CoreMap settlements share exact normalized name under township,
village,152068,Nyan Taw Inn,ညံတောအင်း,,,Ayeyarwady,MMR017024,Bogale,MMR017024007,Hlwa Htaung Su,Ayeyarwady > Pyapon > Bogale > Hlwa Htaung Su,95.62973022,16.41613007,village_point_Ayeyarwady_v96.zip:mmr_ady_pplp2_250k_mimu.shp,123,7376,,,,,,manual_review,45,true,no_exact_name,119311:1158.5m,vt_norm=hlwahtaungsu;wvt_hits=[],119311,Spatial-only settlement candidate blocked (do not merge by distance alone),
village,152419,U To,ဥတို,,,Ayeyarwady,MMR017024,Bogale,MMR017024048,Hpa Yar Thone Su,Ayeyarwady > Pyapon > Bogale > Hpa Yar Thone Su,95.48165940,16.22040470,village_point_Ayeyarwady_v96.zip:mmr_ady_pplp2_250k_mimu.shp,137,7376,,,,,,merge_duplicate_candidate,55,true,exact_normalized_my,119055:0.0m|119113:223.4m|119230:34004.5m,vt_norm=hpayarthonesu;wvt_hits=[],119055;119113;119230,Multiple CoreMap settlements share exact normalized name under township,
village,153277,Ma Ngeit Gyi,မငဲ့ကြီး,,,Ayeyarwady,MMR017024,Bogale,MMR017024059,Ka Ma Ka Lu,Ayeyarwady > Pyapon > Bogale > Ka Ma Ka Lu,95.46897125,16.11175919,village_point_Ayeyarwady_v96.zip:mmr_ady_pplp2_250k_mimu.shp,175,7376,,,,,,merge_duplicate_candidate,55,true,exact_normalized_my,119326:479.1m|119373:190.2m,vt_norm=kamakalu;wvt_hits=[],119326;119373,Multiple CoreMap settlements share exact normalized name under township,
village,153967,Paw Taw Mu,ပေါ်တော်မူ,,,Ayeyarwady,MMR017024,Bogale,MMR017024002,Kan Su (East),Ayeyarwady > Pyapon > Bogale > Kan Su (East),95.54340363,16.37984085,village_point_Ayeyarwady_v96.zip:mmr_ady_pplp2_250k_mimu.shp,184,7376,,,,,,merge_duplicate_candidate,55,true,exact_normalized_my,119206:34.9m|119365:441.8m,vt_norm=kansueast;wvt_hits=[],119206;119365,Multiple CoreMap settlements share exact normalized name under township,
