source_key,entity_type,source_name_mm,source_name_en,source_parent,source_geometry_preview_path,candidate_core_ids,candidate_names,candidate_parents,candidate_types,name_evidence,overlap_percent,distance_m,dependency_counts,recommended_action,review_decision,selected_core_id,review_note
ward:MMR009001701515:row81:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,အောင်မေတ္တာရပ်ကွက်,Aung Myit Tar Ward,Magway > Magway > Magway > Magway Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR009001701515_row81_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,7015,ဆားရွှေကင်းရပ်ကွက်,မကွေး,ward,no_exact_name,0.0,2002.4,7015:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=1|saved_places=0|geom_npoints=90|area_m2=1084140|verification=unverified},manual_review,,,Spatial-only candidate blocked (do not merge by geometry alone)
ward:MMR009001701516:row82:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,အောင်စေတနာရပ်ကွက်,Aung Say Ta Nar Ward,Magway > Magway > Magway > Magway Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR009001701516_row82_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,7015,ဆားရွှေကင်းရပ်ကွက်,မကွေး,ward,no_exact_name,0.0,2179.7,7015:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=1|saved_places=0|geom_npoints=90|area_m2=1084140|verification=unverified},manual_review,,,Spatial-only candidate blocked (do not merge by geometry alone)
ward:MMR009001701514:row86:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,အောင်မင်္ဂလာရပ်ကွက်,Aung Min Ga Lar Ward,Magway > Magway > Magway > Magway Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR009001701514_row86_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,7010,ရွာသစ်ပွဲကြိုရပ်ကွက်,မကွေး,ward,no_exact_name,0.0,2419.8,7010:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=1|saved_places=0|geom_npoints=43|area_m2=633329|verification=unverified},manual_review,,,Spatial-only candidate blocked (do not merge by geometry alone)
ward:MMR009001701512:row89:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,အောင်ရတနာရပ်ကွက်,Aung Ya Ta Nar Ward,Magway > Magway > Magway > Magway Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR009001701512_row89_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,7013,သိင်္ဂါဂီရိရပ်ကွက်,မကွေး,ward,no_exact_name,0.1,1860.6,7013:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=1|saved_places=0|geom_npoints=76|area_m2=1606922|verification=unverified},manual_review,,,Spatial-only candidate blocked (do not merge by geometry alone)
ward:MMR017020701503:row369:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,အနောက်ပိုင်းရပ်ကွက်,Ah Nauk Paing Ward,Ayeyarwady > Maubin > Pantanaw > Pantanaw Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR017020701503_row369_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,7331,မြို့ကွက်သစ်ရပ်ကွက်,ပန်းတနော်,ward,no_exact_name,0.0,696.2,7331:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=158|area_m2=1198406|verification=unverified},manual_review,,,Spatial-only candidate blocked (do not merge by geometry alone)
ward:MMR017020701502:row370:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,အလယ်ပိုင်းရပ်ကွက်,Ah Lel Paing Ward,Ayeyarwady > Maubin > Pantanaw > Pantanaw Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR017020701502_row370_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,7331,မြို့ကွက်သစ်ရပ်ကွက်,ပန်းတနော်,ward,no_exact_name,0.0,806.6,7331:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=158|area_m2=1198406|verification=unverified},manual_review,,,Spatial-only candidate blocked (do not merge by geometry alone)
ward:MMR017020701501:row371:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,အရှေ့ပိုင်းရပ်ကွက်,Ah Shey Paing Ward,Ayeyarwady > Maubin > Pantanaw > Pantanaw Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR017020701501_row371_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,7331,မြို့ကွက်သစ်ရပ်ကွက်,ပန်းတနော်,ward,no_exact_name,0.0,1691.3,7331:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=158|area_m2=1198406|verification=unverified},manual_review,,,Spatial-only candidate blocked (do not merge by geometry alone)
ward:MMR005001701502:row434:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,ဧမြဝတီရပ်ကွက်,Aye Mya Wa Di Ward,Sagaing > Sagaing > Sagaing > Sagaing Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR005001701502_row434_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,6849;6853,ဧမြဝတီရပ်ကွက် | ဧမြဝတီရပ်ကွက်,စစ်ကိုင်း | စစ်ကိုင်း,ward | ward,exact_my+en,100.0;100.0,0.0;0.0,6849:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=98|area_m2=494223|verification=unverified} || 6853:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=0|saved_places=0|geom_npoints=98|area_m2=494223|verification=unverified},merge_duplicate_candidate,,6849,"Multiple CoreMap WVT rows share exact normalized name under township | prefer id=6849 by verification/official/deps/geometry (deps=2, npoints=98)"
ward:MMR011001701526:row506:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,နောင်ခရီရပ်ကွက်,Naung Kha Ri Ward,Mon > Mawlamyine > Mawlamyine > Mawlamyine Town,reports/admin-reconciliation-v2/phase3-previews/ward_MMR011001701526_row506_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,5087,စမ်းကြီးရပ်ကွက်,မော်လမြိုင်,ward,no_exact_name,0.0,2077.9,5087:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=2|saved_places=0|geom_npoints=354|area_m2=3523464|verification=unverified},manual_review,,,Spatial-only candidate blocked (do not merge by geometry alone)
ward:MMR013002701514:row1043:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward,ကြံခင်းစုရပ်ကွက်,Kyan Khin Su Ward,Yangon > Yangon (North) > Mingaladon > Mingaladon,reports/admin-reconciliation-v2/phase3-previews/ward_MMR013002701514_row1043_ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp.geojson,5783,အနန်းပင်ရပ်ကွက်,မင်္ဂလာဒုံ,ward,no_exact_name,0.0,1394.6,5783:{names=2|children=0|places=0|addresses=0|streets=0|buildings=0|postal_local=1|saved_places=0|geom_npoints=112|area_m2=4231299|verification=unverified},manual_review,,,Spatial-only candidate blocked (do not merge by geometry alone)
