source_key,entity_type,mimu_name_mm,mimu_name_en,core_id,overlap_percent_queue,distance_m_queue,area_m2_core_before,area_m2_mimu,area_m2_intersection,area_m2_core_after,area_m2_removed,removed_pct_of_core,status,preview_path,review_note
village_tract:MMR015004041:row12301:village_tract_boundary_Shan_v94.zip_mmr_shn_polbnda_adm4_250k_mimu_1.shp,village_tract,ကောင်းစန်း,Kawng Sang,6493,100.0,22665.5,1192348918.5,58675688.1,58672305.8,1133676558.7,58672359.8,4.92,ok,reports/admin-reconciliation-v2/phase3-clip-previews/clip_Kawng_Sang_6493.geojson,"create_new + clip CoreMap 6493: keep existing row, subtract MIMU overlap from CoreMap polygon (preview only; no DB write)"
village_tract:MMR015004003:row12302:village_tract_boundary_Shan_v94.zip_mmr_shn_polbnda_adm4_250k_mimu_1.shp,village_tract,ကုန်းမုံ,Kone Mon,6493,15.6,26664.6,1192348918.5,49911036.7,7750787.2,1184598101.4,7750817.2,0.65,ok,reports/admin-reconciliation-v2/phase3-clip-previews/clip_Kone_Mon_6493.geojson,"create_new + clip CoreMap 6493: keep existing row, subtract MIMU overlap from CoreMap polygon (preview only; no DB write)"
village_tract:MMR015004049:row12304:village_tract_boundary_Shan_v94.zip_mmr_shn_polbnda_adm4_250k_mimu_1.shp,village_tract,လွယ်ပျက်,Loi Pyet,6493,26.0,18355.9,1192348918.5,367689708.5,95690725.2,1096658138.7,95690779.9,8.03,ok,reports/admin-reconciliation-v2/phase3-clip-previews/clip_Loi_Pyet_6493.geojson,"create_new + clip CoreMap 6493: keep existing row, subtract MIMU overlap from CoreMap polygon (preview only; no DB write)"
village_tract:MMR015004048:row12306:village_tract_boundary_Shan_v94.zip_mmr_shn_polbnda_adm4_250k_mimu_1.shp,village_tract,လွယ်ဝေါ,Loi Waw,6493,95.8,9769.7,1192348918.5,165596916.9,158581219.3,1033767615.6,158581302.9,13.30,ok,reports/admin-reconciliation-v2/phase3-clip-previews/clip_Loi_Waw_6493.geojson,"create_new + clip CoreMap 6493: keep existing row, subtract MIMU overlap from CoreMap polygon (preview only; no DB write)"
village_tract:MMR015004005:row12309:village_tract_boundary_Shan_v94.zip_mmr_shn_polbnda_adm4_250k_mimu_1.shp,village_tract,မန်ကပ်,Man Kat,6493,12.1,21982.5,1192348918.5,39987034.6,4850498.2,1187498396.0,4850522.5,0.41,ok,reports/admin-reconciliation-v2/phase3-clip-previews/clip_Man_Kat_6493.geojson,"create_new + clip CoreMap 6493: keep existing row, subtract MIMU overlap from CoreMap polygon (preview only; no DB write)"
village_tract:MMR015004045:row12311:village_tract_boundary_Shan_v94.zip_mmr_shn_polbnda_adm4_250k_mimu_1.shp,village_tract,မန်ကောင်းမူး,Man Kawng Mu,6493,62.6,14165.8,1192348918.5,264971948.0,165844101.2,1026504768.3,165844150.3,13.91,ok,reports/admin-reconciliation-v2/phase3-clip-previews/clip_Man_Kawng_Mu_6493.geojson,"create_new + clip CoreMap 6493: keep existing row, subtract MIMU overlap from CoreMap polygon (preview only; no DB write)"
village_tract:MMR015004042:row12318:village_tract_boundary_Shan_v94.zip_mmr_shn_polbnda_adm4_250k_mimu_1.shp,village_tract,နမ့်ဟူး,Nam Hu,6493,83.8,9262.0,1192348918.5,57223786.2,47915185.6,1144433732.2,47915186.4,4.02,ok,reports/admin-reconciliation-v2/phase3-clip-previews/clip_Nam_Hu_6493.geojson,"create_new + clip CoreMap 6493: keep existing row, subtract MIMU overlap from CoreMap polygon (preview only; no DB write)"
village_tract:MMR015004047:row12321:village_tract_boundary_Shan_v94.zip_mmr_shn_polbnda_adm4_250k_mimu_1.shp,village_tract,နမ့်မူဆယ်,Nam Muse,6493,10.9,24078.9,1192348918.5,98846709.8,10734129.4,1181614789.1,10734129.4,0.90,ok,reports/admin-reconciliation-v2/phase3-clip-previews/clip_Nam_Muse_6493.geojson,"create_new + clip CoreMap 6493: keep existing row, subtract MIMU overlap from CoreMap polygon (preview only; no DB write)"
village_tract:MMR015004044:row12330:village_tract_boundary_Shan_v94.zip_mmr_shn_polbnda_adm4_250k_mimu_1.shp,village_tract,နောင်ခမ်း (မိုင်းထွမ်း),Nawng Hkam (Mong Htwun),6493,93.4,16182.4,1192348918.5,181244263.2,169267180.3,1023081227.9,169267690.6,14.20,ok,reports/admin-reconciliation-v2/phase3-clip-previews/clip_Nawng_Hkam_Mong_Htwun__6493.geojson,"create_new + clip CoreMap 6493: keep existing row, subtract MIMU overlap from CoreMap polygon (preview only; no DB write)"
village_tract:MMR015004046:row12331:village_tract_boundary_Shan_v94.zip_mmr_shn_polbnda_adm4_250k_mimu_1.shp,village_tract,နောင်ခမ်း (မိုင်းမား),Nawng Hkam (Mong Mar),6493,86.6,6711.2,1192348918.5,131628558.9,114042109.5,1078306748.7,114042169.8,9.56,ok,reports/admin-reconciliation-v2/phase3-clip-previews/clip_Nawng_Hkam_Mong_Mar__6493.geojson,"create_new + clip CoreMap 6493: keep existing row, subtract MIMU overlap from CoreMap polygon (preview only; no DB write)"
