review_id,source_key,review_decision,selected_core_id,losing_core_ids,name_source,geometry_policy,review_note,updated_at
ward:MMR005001701502:row434:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR005001701502:row434:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,match_existing,6849,,,,,2026-09-21T11:01:29.041Z
ward:MMR013018701526:row1133:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR013018701526:row1133:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,match_existing,5182,,,,,2026-09-21T11:01:31.920Z
ward:MMR013018701525:row1134:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR013018701525:row1134:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,match_existing,5185,,,,,2026-09-21T11:01:35.939Z
ward:MMR007008701505:row1421:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR007008701505:row1421:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,match_existing,5891,,,,,2026-09-21T11:01:39.147Z
ward:MMR010018701504:row1546:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR010018701504:row1546:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,match_existing,6907,,,,,2026-09-21T11:01:45.300Z
ward:MMR018002701510:row1565:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR018002701510:row1565:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,match_existing,6024,,,,,2026-09-21T11:02:34.028Z
ward:MMR018002701508:row1572:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR018002701508:row1572:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,match_existing,6022,,,,,2026-09-21T11:02:45.566Z
ward:MMR018002701509:row1574:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR018002701509:row1574:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,match_existing,6023,,,,,2026-09-21T11:02:50.868Z
ward:MMR018002701507:row1575:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR018002701507:row1575:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,match_existing,6054,,,,,2026-09-21T11:02:56.856Z
ward:MMR005011701503:row1589:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR005011701503:row1589:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,match_existing,6794,,,,,2026-09-21T11:03:08.128Z
ward:MMR005011701503:row1611:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR005011701503:row1611:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,match_existing,6794,,,,,2026-09-21T11:03:16.396Z
ward:MMR013029701504:row1840:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR013029701504:row1840:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,merge_confirmed_duplicate,5119,5113,,,one_unique: keep 5119; merge losers 5113; match MIMU,2026-09-21T11:20:14.637Z
ward:MMR010005701502:row1912:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR010005701502:row1912:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,merge_confirmed_duplicate,6211,6212,,,one_unique: keep 6211; merge losers 6212; match MIMU,2026-09-21T11:20:36.197Z
ward:MMR013029701504:row1841:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR013029701504:row1841:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,merge_confirmed_duplicate,5119,5113,,,one_unique: keep 5119; merge losers 5113; match MIMU,2026-09-21T11:21:07.948Z
village:150596:row26:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village:150596:row26:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,merge_confirmed_duplicate,119449,119242;119523,,,auto: nearest_to_mimu survivor=119449 losers=119242;119523 method=linked_distance_or_overlap,2026-09-21T11:26:53.444Z
village:151060:row53:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village:151060:row53:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,merge_confirmed_duplicate,119485,119318,,,auto: nearest_to_mimu survivor=119485 losers=119318 method=linked_distance_or_overlap,2026-09-21T11:26:53.444Z
village:151142:row71:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village:151142:row71:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,merge_confirmed_duplicate,119108,119183,,,auto: nearest_to_mimu survivor=119108 losers=119183 method=linked_distance_or_overlap,2026-09-21T11:26:53.444Z
village:216725:row80:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village:216725:row80:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,merge_confirmed_duplicate,119398,119102,,,auto: nearest_to_mimu survivor=119398 losers=119102 method=linked_distance_or_overlap,2026-09-21T11:26:53.444Z
village:151903:row95:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village:151903:row95:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,merge_confirmed_duplicate,119301,119298;119375,,,auto: nearest_to_mimu survivor=119301 losers=119298;119375 method=linked_distance_or_overlap,2026-09-21T11:26:53.444Z
village:151914:row112:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village:151914:row112:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,merge_confirmed_duplicate,119478,119162,,,auto: nearest_to_mimu survivor=119478 losers=119162 method=linked_distance_or_overlap,2026-09-21T11:26:53.444Z
village:152419:row137:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village:152419:row137:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,merge_confirmed_duplicate,119055,119113;119230,,,auto: nearest_to_mimu survivor=119055 losers=119113;119230 method=linked_distance_or_overlap,2026-09-21T11:26:53.444Z
village:153277:row175:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village:153277:row175:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,merge_confirmed_duplicate,119373,119326,,,auto: nearest_to_mimu survivor=119373 losers=119326 method=linked_distance_or_overlap,2026-09-21T11:26:53.444Z
village:153967:row184:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village:153967:row184:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,merge_confirmed_duplicate,119206,119365,,,auto: nearest_to_mimu survivor=119206 losers=119365 method=linked_distance_or_overlap,2026-09-21T11:26:53.444Z
village:153973:row185:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village:153973:row185:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,merge_confirmed_duplicate,119363,119217,,,auto: nearest_to_mimu survivor=119363 losers=119217 method=linked_distance_or_overlap,2026-09-21T11:26:53.444Z
village:153974:row189:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village:153974:row189:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,merge_confirmed_duplicate,119152,119235;119299,,,auto: nearest_to_mimu survivor=119152 losers=119235;119299 method=linked_distance_or_overlap,2026-09-21T11:26:53.444Z
village:154611:row197:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village:154611:row197:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,merge_confirmed_duplicate,119152,119235;119299,,,auto: nearest_to_mimu survivor=119152 losers=119235;119299 method=linked_distance_or_overlap,2026-09-21T11:26:53.444Z
village:154608:row198:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village:154608:row198:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,merge_confirmed_duplicate,119180,119357,,,auto: nearest_to_mimu survivor=119180 losers=119357 method=linked_distance_or_overlap,2026-09-21T11:26:53.444Z
village:154609:row199:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village:154609:row199:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,merge_confirmed_duplicate,119226,119427;119493,,,auto: nearest_to_mimu survivor=119226 losers=119427;119493 method=linked_distance_or_overlap,2026-09-21T11:26:53.444Z
village:154955:row207:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village:154955:row207:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,merge_confirmed_duplicate,119031,119511,,,auto: nearest_to_mimu survivor=119031 losers=119511 method=linked_distance_or_overlap,2026-09-21T11:26:53.444Z
village:216740:row210:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village:216740:row210:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,merge_confirmed_duplicate,119057,119476,,,auto: nearest_to_mimu survivor=119057 losers=119476 method=linked_distance_or_overlap,2026-09-21T11:26:53.444Z
village:155493:row214:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village:155493:row214:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,merge_confirmed_duplicate,119409,167381,,,auto: nearest_to_mimu survivor=119409 losers=167381 method=linked_distance_or_overlap,2026-09-21T11:26:53.444Z
