source_key,entity_type,source_name_mm,source_name_en,source_parent,source_geometry_preview_path,candidate_core_ids,candidate_names,candidate_parents,candidate_types,name_evidence,overlap_percent,distance_m,dependency_counts,recommended_action,review_decision,selected_core_id,review_note
village:150596:row26:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village,​ပေချောင်း,Pay Chaung,Ayeyarwady > Pyapon > Bogale > Aye,reports/admin-reconciliation-v2/phase3-previews/village_150596_row26_village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp.geojson,119242;119449;119523,ပေချောင်း [Pay Chaung / ပေချောင်း] | ပေချောင်း [Pay Chaung / ပေချောင်း] | ပေချောင်း [Pay Chaung / ပေချောင်း],ဘိုကလေး | ဘိုကလေး | ဘိုကလေး,village | village | village,exact_normalized_my,,3140.2;239.3;1463.1,119242:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 119449:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 119523:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},merge_duplicate_candidate,,119242,Multiple CoreMap settlements share exact normalized name under township | prefer id=119242 by verification/point/names (preserve survivor point)
village:151060:row53:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village,မငဲ့ကလေး,Ma Ngeit Ka Lay,Ayeyarwady > Pyapon > Bogale > Byu Sa Khan,reports/admin-reconciliation-v2/phase3-previews/village_151060_row53_village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp.geojson,119318;119485,မငဲ့ကလေး [Ma Ngeit Ka Lay / မငဲ့ကလေး] | မငဲ့ကလေး [Ma Ngeit Ka Lay / မငဲ့ကလေး],ဘိုကလေး | ဘိုကလေး,village | village,exact_normalized_my,,70.9;16.3,119318:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 119485:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},merge_duplicate_candidate,,119318,Multiple CoreMap settlements share exact normalized name under township | prefer id=119318 by verification/point/names (preserve survivor point)
village:151142:row71:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village,ကြား,Kyar,Ayeyarwady > Pyapon > Bogale > Chaung Hpyar (Nyi Naung),reports/admin-reconciliation-v2/phase3-previews/village_151142_row71_village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp.geojson,119108;119183,ကြား [Kyar / ကြား] | ကြား [Kyar / ကြား],ဘိုကလေး | ဘိုကလေး,village | village,exact_normalized_my,,0.0;468.4,119108:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 119183:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},merge_duplicate_candidate,,119108,Multiple CoreMap settlements share exact normalized name under township | prefer id=119108 by verification/point/names (preserve survivor point)
village:216725:row80:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village,​ခေတ်ဆန်း,Khit San,Ayeyarwady > Pyapon > Bogale > Ga Yan,reports/admin-reconciliation-v2/phase3-previews/village_216725_row80_village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp.geojson,119102;119398,ခေတ်ဆန်း [Khit San / ခေတ်ဆန်း] | ခေတ်ဆန်း [Khit San / ခေတ်ဆန်း],ဘိုကလေး | ဘိုကလေး,village | village,exact_normalized_my,,388.6;44.6,119102:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 119398:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},merge_duplicate_candidate,,119102,Multiple CoreMap settlements share exact normalized name under township | prefer id=119102 by verification/point/names (preserve survivor point)
village:151903:row95:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village,အေး,Aye,Ayeyarwady > Pyapon > Bogale > Hay Man,reports/admin-reconciliation-v2/phase3-previews/village_151903_row95_village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp.geojson,119298;119301;119375,အေး [Aye / အေး] | အေး [Aye / အေး] | အေး [Aye / အေး],ဘိုကလေး | ဘိုကလေး | ဘိုကလေး,village | village | village,exact_normalized_my,,6720.4;215.7;662.8,119298:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 119301:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 119375:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},merge_duplicate_candidate,,119298,Multiple CoreMap settlements share exact normalized name under township | prefer id=119298 by verification/point/names (preserve survivor point)
village:151914:row112:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village,လိပ်ကမ္ဘာ,Leik Ka Bar,Ayeyarwady > Pyapon > Bogale > Hay Man,reports/admin-reconciliation-v2/phase3-previews/village_151914_row112_village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp.geojson,119162;119478,လိပ်ကမ္ဘာ [Leik Ka Bar / လိပ်ကမ္ဘာ] | လိပ်ကမ္ဘာ [Leik Ka Bar / လိပ်ကမ္ဘာ],ဘိုကလေး | ဘိုကလေး,village | village,exact_normalized_my,,1116.9;0.0,119162:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 119478:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},merge_duplicate_candidate,,119162,Multiple CoreMap settlements share exact normalized name under township | prefer id=119162 by verification/point/names (preserve survivor point)
village:152068:row123:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village,ညံတောအင်း,Nyan Taw Inn,Ayeyarwady > Pyapon > Bogale > Hlwa Htaung Su,reports/admin-reconciliation-v2/phase3-previews/village_152068_row123_village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp.geojson,119311,တူးမြောင်း [Tu Myaung / တူးမြောင်း],ဘိုကလေး,village,no_exact_name,,1158.5,119311:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},manual_review,,,Spatial-only settlement candidate blocked (do not merge by distance alone)
village:152419:row137:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village,ဥတို,U To,Ayeyarwady > Pyapon > Bogale > Hpa Yar Thone Su,reports/admin-reconciliation-v2/phase3-previews/village_152419_row137_village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp.geojson,119055;119113;119230,ဥတို [U To / ဥတို] | ဥတို [U To / ဥတို] | ဥတို [U To / ဥတို],ဘိုကလေး | ဘိုကလေး | ဘိုကလေး,village | village | village,exact_normalized_my,,0.0;223.4;34004.5,119055:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 119113:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 119230:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},merge_duplicate_candidate,,119055,Multiple CoreMap settlements share exact normalized name under township | prefer id=119055 by verification/point/names (preserve survivor point)
village:153277:row175:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village,မငဲ့ကြီး,Ma Ngeit Gyi,Ayeyarwady > Pyapon > Bogale > Ka Ma Ka Lu,reports/admin-reconciliation-v2/phase3-previews/village_153277_row175_village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp.geojson,119326;119373,မငဲ့ကြီး [Ma Ngeit Gyi / မငဲ့ကြီး] | မငဲ့ကြီး [Ma Ngeit Gyi / မငဲ့ကြီး],ဘိုကလေး | ဘိုကလေး,village | village,exact_normalized_my,,479.1;190.2,119326:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 119373:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},merge_duplicate_candidate,,119326,Multiple CoreMap settlements share exact normalized name under township | prefer id=119326 by verification/point/names (preserve survivor point)
village:153967:row184:village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp,village,ပေါ်တော်မူ,Paw Taw Mu,Ayeyarwady > Pyapon > Bogale > Kan Su (East),reports/admin-reconciliation-v2/phase3-previews/village_153967_row184_village_point_Ayeyarwady_v96.zip_mmr_ady_pplp2_250k_mimu.shp.geojson,119206;119365,ပေါ်တော်မူ [Paw Taw Mu / ပေါ်တော်မူ] | ပေါ်တော်မူ [Paw Taw Mu / ပေါ်တော်မူ],ဘိုကလေး | ဘိုကလေး,village | village,exact_normalized_my,,34.9;441.8,119206:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0} || 119365:{has_point=1|verification=unverified|is_verified=f|type=village|fk_inbound=0},merge_duplicate_candidate,,119206,Multiple CoreMap settlements share exact normalized name under township | prefer id=119206 by verification/point/names (preserve survivor point)
