source_key,level,action,outcome,coremap_id,target_parent_id,name_en,name_my,official,rename,reparent,reclassify,create,notes
01_SR:2,state_region,update_name,renamed,6667,11,Kachin,ကချင်ပြည်နယ်,True,True,False,False,False,matched_preserve_geom
01_SR:3,state_region,update_name,renamed,6007,11,Kayah,ကယားပြည်နယ်,True,True,False,False,False,matched_preserve_geom
01_SR:4,state_region,update_name,renamed,5879,11,Kayin,ကရင်ပြည်နယ်,True,True,False,False,False,matched_preserve_geom
01_SR:5,state_region,update_name,renamed,6744,11,Chin,ချင်းပြည်နယ်,True,True,False,False,False,matched_preserve_geom
01_SR:6,state_region,update_name,renamed,6703,11,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,True,True,False,False,False,matched_preserve_geom
01_SR:7,state_region,update_name,renamed,7449,11,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,True,True,False,False,False,matched_preserve_geom
01_SR:8,state_region,mark_reference_only,extra/reference,,,Bago (East),ပဲခူးတိုင်းဒေသကြီး (အရှေ့),False,False,False,False,False,unmatched_reference_only_no_create
01_SR:9,state_region,mark_reference_only,extra/reference,,,Bago (West),ပဲခူးတိုင်းဒေသကြီး (အနောက်),False,False,False,False,False,unmatched_reference_only_no_create
01_SR:10,state_region,update_name,renamed,7027,11,Magway,မကွေးတိုင်းဒေသကြီး,True,True,False,False,False,matched_preserve_geom
01_SR:11,state_region,update_name,renamed,6832,11,Mandalay,မန္တလေးတိုင်းဒေသကြီး,True,True,False,False,False,matched_preserve_geom
01_SR:12,state_region,update_name,renamed,5089,11,Mon,မွန်ပြည်နယ်,True,True,False,False,False,matched_preserve_geom
01_SR:13,state_region,update_name,renamed,6722,11,Rakhine,ရခိုင်ပြည်နယ်,True,True,False,False,False,matched_preserve_geom
01_SR:14,state_region,update_name,renamed,13,11,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,True,True,False,False,False,matched_preserve_geom
01_SR:15,state_region,mark_reference_only,extra/reference,,,Shan (South),ရှမ်းပြည်နယ် (တောင်),False,False,False,False,False,unmatched_reference_only_no_create
01_SR:16,state_region,mark_reference_only,extra/reference,,,Shan (North),ရှမ်းပြည်နယ် (မြောက်),False,False,False,False,False,unmatched_reference_only_no_create
01_SR:17,state_region,mark_reference_only,extra/reference,,,Shan (East),ရှမ်းပြည်နယ် (အရှေ့),False,False,False,False,False,unmatched_reference_only_no_create
01_SR:18,state_region,create_mimu_placeholder,renamed,7279,11,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,True,True,False,False,False,promoted_to_match:spatial_core_id_promote
01_SR:19,state_region,update_name,renamed,6031,11,Nay Pyi Taw,နေပြည်တော်,True,True,False,False,False,matched_preserve_geom
01_SR:20,state_region,update_name,renamed,7169,11,Bago,ပဲခူးတိုင်းဒေသကြီး,True,True,False,False,False,matched_preserve_geom
01_SR:21,state_region,update_name,renamed,6329,11,Shan,ရှမ်းပြည်နယ်,True,True,False,False,False,matched_preserve_geom
SAD_SAZ:2,self_administered_zone,create_mimu_placeholder,renamed,6693,6703,Naga Self-Administered Zone,နာဂကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,True,True,False,False,False,promoted_to_match:saz_name_promote
SAD_SAZ:3,self_administered_zone,create_mimu_placeholder,renamed,6192,6329,Danu Self-Administered Zone,ဓနု ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,True,True,False,False,False,promoted_to_match:saz_name_promote
SAD_SAZ:4,self_administered_zone,create_mimu_placeholder,renamed,6115,6329,Pa-O Self-Administered Zone,ပအိုဝ်း ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,True,True,False,False,False,promoted_to_match:saz_name_promote
SAD_SAZ:5,self_administered_zone,create_mimu_placeholder,renamed,7532,6329,Pa Laung Self-Administered Zone,ပလောင် ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,True,True,False,False,False,promoted_to_match:saz_name_promote
SAD_SAZ:6,self_administered_zone,create_mimu_placeholder,renamed,6411,6329,Kokang Self-Administered Zone,ကိုးကန့် ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ,True,True,False,False,False,promoted_to_match:saz_name_promote
SAD_SAZ:7,self_administered_zone,create_mimu_placeholder,renamed,7533,6329,Wa Self-Administered Division,ဝ ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရတိုင်း,True,True,False,False,False,promoted_to_match:saz_name_promote
02_District:2,district,update_name,renamed,6622,6667,Myitkyina,မြစ်ကြီးနားခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:3,district,update_name,renamed,6659,6667,Mohnyin,မိုးညှင်းခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:4,district,update_name,renamed,6594,6667,Bhamo,ဗန်းမော်ခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:5,district,update_name,renamed,6682,6667,Puta-O,ပူတာအိုခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:6,district,update_name,renamed,5999,6007,Loikaw,လွိုင်ကော်ခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:7,district,manual_review,manual_review_remaining,,,Bawlake,ဘောလခဲခရိုင်,True,False,False,False,False,Fuzzy-name candidates are review-only: 5974:Bawlakhe District:0.933
02_District:8,district,update_name,renamed,5878,5879,Hpa-An,ဘားအံခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:9,district,update_name,renamed,5032,5879,Myawaddy,မြဝတီခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:10,district,update_name,renamed,5031,5879,Kawkareik,ကော့ကရိတ်ခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:11,district,update_name,renamed,5977,5879,Hpapun,ဖာပွန်ခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:12,district,update_name,renamed,6740,6744,Falam,ဖလမ်းခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:13,district,update_name,renamed,6948,6744,Mindat,မင်းတပ်ခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:14,district,update_name,renamed,6746,6744,Hakha,ဟားခါးခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:15,district,update_name,renamed,6921,6744,Matupi,မတူပီခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:16,district,update_name,renamed,6861,6703,Sagaing,စစ်ကိုင်းခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:17,district,update_name,renamed,6785,6703,Shwebo,ရွှေဘိုခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:18,district,update_name,renamed,6823,6703,Monywa,မုံရွာခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:19,district,update_name,renamed,6704,6703,Katha,ကသာခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:20,district,update_name,renamed,6799,6703,Kale,ကလေးခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:21,district,update_name,renamed,6725,6703,Tamu,တမူးခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:22,district,update_name,renamed,5021,6703,Mawlaik,မော်လိုက်ခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:23,district,update_name,renamed,6700,6703,Hkamti,ခန္တီးခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:24,district,update_name,renamed,6804,6703,Yinmarbin,ယင်းမာပင်ခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:25,district,create_mimu_placeholder,renamed,6785,6703,Kanbalu,ကန့်ဘလူခရိုင်,True,True,False,False,False,promoted_to_match:spatial_core_id_promote
02_District:26,district,create_mimu_placeholder,renamed,6704,6703,Kawlin,ကောလင်းခရိုင်,True,True,False,False,False,promoted_to_match:spatial_core_id_promote
02_District:27,district,update_name,renamed,7509,7449,Dawei,ထားဝယ်ခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:28,district,update_name,renamed,7448,7449,Myeik,မြိတ်ခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:29,district,update_name,renamed,7438,7449,Kawthoung,ကော့သောင်းခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:30,district,update_name,renamed,5923,7169,Bago,ပဲခူးခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:31,district,update_name,renamed,5970,7169,Taungoo,တောင်ငူခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:32,district,create_mimu_placeholder,reparented,7128,7169,Pyay,ပြည်ခရိုင်,True,True,True,False,False,promoted_to_match:spatial_core_id_promote
02_District:33,district,update_name,renamed,7170,7169,Thayarwady,သာယာဝတီခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:34,district,update_name,renamed,7053,7027,Magway,မကွေးခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:35,district,update_name,renamed,7029,7027,Minbu,မင်းဘူးခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:36,district,update_name,reparented,7128,7027,Thayet,သရက်ခရိုင်,True,True,True,False,False,matched_preserve_geom
02_District:37,district,update_name,renamed,6912,7027,Pakokku,ပခုက္ကူခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:38,district,update_name,renamed,6920,7027,Gangaw,ဂန့်ဂေါခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:39,district,create_mimu_placeholder,renamed,6538,6832,Mandalay,မန္တလေးခရိုင်,True,True,False,False,False,promoted_to_match:spatial_core_id_promote
02_District:40,district,update_name,renamed,6537,6832,Pyinoolwin,ပြင်ဦးလွင်ခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:41,district,update_name,renamed,6197,6832,Kyaukse,ကျောက်ဆည်ခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:42,district,update_name,renamed,6721,6832,Myingyan,မြင်းခြံခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:43,district,update_name,renamed,7049,6832,Nyaung-U,ညောင်ဦးခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:44,district,update_name,renamed,6068,6832,Yamethin,ရမည်းသင်းခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:45,district,update_name,renamed,6165,6832,Meiktila,မိတ္ထီလာခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:46,district,update_name,renamed,5099,5089,Mawlamyine,မော်လမြိုင်ခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:47,district,update_name,renamed,5054,5089,Thaton,သထုံခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:48,district,update_name,renamed,6988,6722,Sittwe,စစ်တွေခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:49,district,update_name,renamed,6967,6722,Maungdaw,မောင်တောခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:50,district,update_name,renamed,7185,6722,Kyaukpyu,ကျောက်ဖြူခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:51,district,update_name,renamed,7173,6722,Thandwe,သံတွဲခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:52,district,update_name,renamed,7005,6722,Mrauk-U,မြောက်ဦးခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:53,district,create_mimu_placeholder,renamed,7234,13,Yangon (North),ရန်ကုန်(မြောက်ပိုင်း),True,True,False,False,False,promoted_to_match:spatial_core_id_promote
02_District:54,district,create_mimu_placeholder,renamed,5170,13,Yangon (East),ရန်ကုန်(အရှေ့ပိုင်း),True,True,False,False,False,promoted_to_match:spatial_core_id_promote
02_District:55,district,create_mimu_placeholder,renamed,12,13,Yangon (South),ရန်ကုန်(တောင်ပိုင်း),True,True,False,False,False,promoted_to_match:spatial_core_id_promote
02_District:56,district,create_mimu_placeholder,renamed,5310,13,Yangon (West),ရန်ကုန်(အနောက်ပိုင်း),True,True,False,False,False,promoted_to_match:spatial_core_id_promote
02_District:57,district,update_name,renamed,6176,6329,Taunggyi,တောင်ကြီးခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:58,district,update_name,renamed,6309,6329,Loilen,လွိုင်လင်ခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:59,district,update_name,renamed,6383,6329,Langkho,လင်းခေးခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:60,district,create_mimu_placeholder,renamed,6463,6329,Lashio,လားရှိုးခရိုင်,True,True,False,False,False,promoted_to_match:spatial_core_id_promote
02_District:61,district,create_mimu_placeholder,renamed,6598,6329,Muse,မူဆယ်ခရိုင်,True,True,False,False,False,promoted_to_match:spatial_core_id_promote
02_District:62,district,update_name,renamed,6500,6329,Kyaukme,ကျောက်မဲခရိုင်,True,True,False,False,False,matched_preserve_geom
02_District:63,district,mark_reference_only,extra/reference,,,Kunlong,ကွမ်းလုံခရိုင်,False,False,False,False,False,unmatched_reference_only_no_create
02_District:64,district,mark_reference_only,extra/reference,,,Laukkaing,လောက်ကိုင်ခရိုင်,False,False,False,False,False,unmatched_reference_only_no_create
