source_key,level,action,outcome,coremap_id,name_en,name_my,notes
02_District:69,district,manual_review,rejected_do_not_merge,,Mong Maw (Wa SAD),မိုင်းမော-ဝအထူးဒေသ (၂),Human rejected merge with CoreMap 6294 Mong La. Leave unmatched.
02_District:74,district,manual_review,rejected_do_not_merge,,Monghpyak,မိုင်းဖြတ်ခရိုင်,Human rejected merge with CoreMap 6371 Mong Hsat. Leave unmatched.
_06-VillageTract:4205,ward_village_tract,manual_review,manual_review_remaining,,Nyaung Kone,ညောင်ကုန်း,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:788,ward_village_tract,manual_review,manual_review_remaining,,Nyaung Kone Ward,ညောင်ကုန်းရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:859,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:860,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:861,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:862,ward_village_tract,manual_review,manual_review_remaining,,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:855,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:856,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:857,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:858,ward_village_tract,manual_review,manual_review_remaining,,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:947,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:948,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:949,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:950,ward_village_tract,manual_review,manual_review_remaining,,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:952,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:953,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:954,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:955,ward_village_tract,manual_review,manual_review_remaining,,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:965,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:966,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:967,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:968,ward_village_tract,manual_review,manual_review_remaining,,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:969,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:970,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:971,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:972,ward_village_tract,manual_review,manual_review_remaining,,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1024,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1025,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1026,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1027,ward_village_tract,manual_review,manual_review_remaining,,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1028,ward_village_tract,manual_review,manual_review_remaining,,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1020,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1021,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1022,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1023,ward_village_tract,manual_review,manual_review_remaining,,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1014,ward_village_tract,manual_review,manual_review_remaining,,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1015,ward_village_tract,manual_review,manual_review_remaining,,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1016,ward_village_tract,manual_review,manual_review_remaining,,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1017,ward_village_tract,manual_review,manual_review_remaining,,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
_05_Ward:1018,ward_village_tract,manual_review,manual_review_remaining,,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,Unresolved duplicate create for same normalized hierarchy path
