coremap_id,source_key,outcome,name_en,name_my
6610,03_Township:80,renamed,Myitkyina,မြစ်ကြီးနား
6623,03_Township:87,renamed,Waingmaw,ဝိုင်းမော်
6668,03_Township:73,renamed,Injangyang,အင်ဂျန်းယန်
6666,03_Township:85,reparented,Tanai,တနိုင်း
6690,03_Township:71,reparented,Chipwi,ချီ​ဖွေ
6688,03_Township:86,reparented,Tsawlaw,ဆော့လော်
6601,03_Township:78,renamed,Mohnyin,မိုးညှင်း
6660,03_Township:77,renamed,Mogaung,မိုးကောင်း
6664,03_Township:72,renamed,Hpakant,ဖားကန့်
6612,03_Township:70,renamed,Bhamo,ဗန်းမော်
6589,03_Township:83,renamed,Shwegu,ရွှေကူ
6593,03_Township:79,renamed,Momauk,မိုးမောက်
6584,03_Township:76,renamed,Mansi,မံစီ
6685,03_Township:82,renamed,Puta-O,ပူတာအို
6669,03_Township:84,renamed,Sumprabum,ဆွမ်ပရာဘွမ်
6686,03_Township:75,renamed,Machanbaw,မချမ်းဘော
6681,03_Township:81,renamed,Nawngmun,နောင်မွန်း
6687,03_Township:74,renamed,Khaunglanhpu,ခေါင်လန်ဖူး
5997,03_Township:92,renamed,Loikaw,လွိုင်ကော်
6015,03_Township:89,reparented,Demoso,ဒီးမော့ဆို
6013,03_Township:91,reparented,Hpruso,ဖရူဆို
5998,03_Township:94,renamed,Shadaw,ရှားတော
6006,03_Township:88,renamed,Bawlake,ဘောလခဲ
5972,03_Township:90,renamed,Hpasawng,ဖားဆောင်း
5962,03_Township:93,renamed,Mese,မယ်စဲ့
5877,03_Township:96,renamed,Hpa-An,ဘားအံ
5880,03_Township:95,renamed,Hlaingbwe,လှိုင်းဘွဲ့
5978,03_Township:97,renamed,Hpapun,ဖာပွန်
6018,03_Township:101,reparented,Thandaunggyi,သံတောင်ကြီး
5033,03_Township:100,renamed,Myawaddy,မြဝတီ
5030,03_Township:98,renamed,Kawkareik,ကော့ကရိတ်
7502,03_Township:99,reparented,Kyainseikgyi,ကြာအင်းဆိပ်ကြီး
6739,03_Township:61,renamed,Falam,ဖလမ်း
6743,03_Township:62,renamed,Hakha,ဟားခါး
6745,03_Township:68,renamed,Thantlang,ထန်တလန်
6718,03_Township:67,reparented,Tedim,တီးတိန်
