id,fk_child_admin,fk_names,fk_places,fk_addresses,fk_buildings,fk_streets,fk_land,fk_protected,fk_settlements,fk_stops,fk_terminals
5985,0,2,17,0,6,316,0,0,3,1,1
5986,0,2,4,0,0,35,0,0,1,2,0
6073,10,3,127,0,49,8618,0,0,410,5,5
6091,6,3,44,0,39,7752,0,0,190,5,3
6115,0,2,0,0,0,0,0,0,0,0,0
6144,0,3,139,0,56,2519,0,0,139,0,0
6187,3,3,63,0,43,1932,0,0,137,2,0
6192,0,3,0,0,0,0,0,0,0,0,0
6310,7,3,24,0,25,5444,0,0,202,2,0
6378,1,2,0,0,0,0,0,0,0,0,0
6394,6,3,14,0,22,909,0,0,126,0,0
6410,0,3,3,0,1,649,0,0,83,0,0
6411,9,3,0,0,0,0,0,0,0,0,0
6485,5,2,0,0,0,0,0,0,0,0,0
6527,3,3,6,0,24,1436,0,0,127,0,0
6674,4,3,3,0,9,501,0,0,111,0,0
6675,0,1,0,0,0,102,0,0,2,2,1
6692,0,3,36,0,65,745,0,0,117,4,0
6693,0,3,0,0,0,0,0,0,0,0,0
6699,2,3,4,0,5,57,0,0,57,0,0
6734,0,1,0,0,0,12,0,0,0,0,0
6735,0,1,1,0,0,49,0,0,7,0,0
6778,8,3,49,0,43,1872,0,0,221,12,8
7139,0,3,511,0,42,3205,0,0,261,11,11
7151,3,3,55,0,76,1456,0,0,275,2,2
