source_entity_type,source_pcode,source_name_en,source_name_my,source_ts_pcode,source_ts_name,frozen_action,frozen_approved_township_id,parent_decision_depends_on,proposed_parent_decision,preview
village_tract,MMR015005039,Hpan Htu,ဖန်ထူ,MMR015005,Pangsang,create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005039.geojson
village_tract,,,,MMR015005,Pangsang (Panghkam),create_mimu_placeholder,,MMR015005,manual_review,
village_tract,MMR015005058,Aum Long,အွမ်လုံ,MMR015005,Pangsang (Panghkam),create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005058.geojson
village_tract,MMR015005071,Ba Yin,ဗယင်း,MMR015005,Pangsang (Panghkam),create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005071.geojson
village_tract,MMR015317003,Dein Aw,ဒိန်း အော,MMR015005,Pangsang (Panghkam),create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015317003.geojson
village_tract,MMR015005073,Hlei Pawng,လှယ်ပေါင်း,MMR015005,Pangsang (Panghkam),create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005073.geojson
village_tract,MMR015005033,Ho Kyet,ဟိုကျက်,MMR015005,Pangsang (Panghkam),create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005033.geojson
village_tract,MMR015005026,Ho Nam Mar,ဟိုနမ့်မာ,MMR015005,Pangsang,create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005026.geojson
village_tract,MMR015005082,Hsa Lar,ဆလား,MMR015005,Pangsang,create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005082.geojson
village_tract,MMR015005064,Hsan Lu,ဆန်လု,MMR015005,Pangsang,create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005064.geojson
village_tract,MMR015005084,Hson Hpoet,ဆုံဖို့,MMR015005,Pangsang (Panghkam),create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005084.geojson
village_tract,MMR015005060,Hta Mon,ထမုံ,MMR015005,Pangsang (Panghkam),create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005060.geojson
village_tract,MMR015005054,Hu Ngeit,ဟူးငဲ့,MMR015005,Pangsang (Panghkam),create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005054.geojson
village_tract,MMR015005081,Huong Kut,ဟုန်းကွတ်,MMR015005,Pangsang,create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005081.geojson
village_tract,MMR015005079,Huong Put,ဟုန်းပွတ်,MMR015005,Pangsang (Panghkam),create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005079.geojson
village_tract,MMR015005051,Hway Waun,ဟွေဝိုင်း,MMR015005,Pangsang (Panghkam),create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005051.geojson
village_tract,MMR015005010,Ka Hsint,ကဆင့်,MMR015005,Pangsang,create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005010.geojson
village_tract,MMR015005072,Ka Long,ကလုံ,MMR015005,Pangsang (Panghkam),create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005072.geojson
village_tract,MMR015317005,Kawng Huong,ကောင်းဟုန်း,MMR015005,Pangsang (Panghkam),create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015317005.geojson
village_tract,MMR015005005,Kawng Par,ကောင်ပါ,MMR015005,Pangsang,create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005005.geojson
village_tract,MMR015005009,Kawng Ta,ကောင်းတ,MMR015005,Pangsang,create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005009.geojson
village_tract,MMR015005067,Kone Hkar,ကုန်းခါး,MMR015005,Pangsang (Panghkam),create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005067.geojson
village_tract,MMR015005061,Kun Ka,ကွန်က,MMR015005,Pangsang,create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005061.geojson
village_tract,MMR015005015,Kun Pei,ကွမ်ပါယ်,MMR015005,Pangsang (Panghkam),create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005015.geojson
village_tract,MMR015005046,Kun Yay,ကွန်ရေး,MMR015005,Pangsang (Panghkam),create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005046.geojson
village_tract,MMR015005012,Loi Hsin,လွယ်ဆင်(မ်),MMR015005,Pangsang,create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005012.geojson
village_tract,MMR015005038,Long Lat Hsin,လုံလတ်ဆင်,MMR015005,Pangsang,create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005038.geojson
village_tract,MMR015005023,Man An,မန်အန်,MMR015005,Pangsang,create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005023.geojson
village_tract,MMR015005011,Man Hkar,မန်ခါး,MMR015005,Pangsang,create_mimu_placeholder,,MMR015005,manual_review,01-pangsang-map-preview/children/MMR015005011.geojson
