postal_code,status,region_mm,region_en,township_mm,township_en,locality_mm,locality_en,inferred_locality_type,matched_township_id,matched_local_admin_area_id,name_evidence,match_method,duplicate_extra_source_rows,source_row_count_en,source_row_count_my,reason,matched_township_public_id,matched_local_admin_public_id,v2_status,v2_reason
0101001,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ဧရာ ရပ်ကွက်,Aye Yar Quarter,ward,6610,6595,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,91c47842-3c8a-47ba-814b-8058c362be7b,linked_exact_local_area,Unique exact approved local-admin under matched township
0101002,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,သီတာ ရပ်ကွက်,Thi Dar Quarter,ward,6610,6647,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,db31f588-1101-4055-bcc7-80dbb11f9fa8,linked_exact_local_area,Unique exact approved local-admin under matched township
0101003,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရန်ကြီးအောင် ရပ်ကွက်,Yan Gyi Aung Quarter,ward,6610,6638,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,48e13c2e-d65a-46bc-abbf-8a4946c08712,linked_exact_local_area,Unique exact approved local-admin under matched township
0101004,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ဒူကထောင် ရပ်ကွက်,Du Ka Htaung Quarter,ward,6610,6646,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,805b0468-4f3e-4653-8ef6-c54c53560c88,linked_exact_local_area,Unique exact approved local-admin under matched township
0101005,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မြို့မ ရပ်ကွက်,Myo Ma Quarter,ward,6610,6519,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,ea757314-3d7a-499a-9491-2c7e7661c8bb,linked_exact_local_area,Unique exact approved local-admin under matched township
0101006,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မင်းရပ် ရပ်ကွက်,Min Yat Quarter,ward,6610,6354,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,ab57d1f2-a8a5-4305-84f0-1818ce4b49ca,linked_exact_local_area,Unique exact approved local-admin under matched township
0101007,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရှမ်းစုမြောက် ရပ်ကွက်,Shan Su (North) Quarter,ward,6610,6349,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,4d764b97-c200-4449-a4a4-301cb06fcd41,linked_exact_local_area,Unique exact approved local-admin under matched township
0101008,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရှမ်းစုတောင် ရပ်ကွက်,Shan Su (South) Quarter,ward,6610,6636,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,6e4c3f52-3e57-445d-a190-8d2e016c825a,linked_exact_local_area,Unique exact approved local-admin under matched township
0101009,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ကချင်စု ရပ်ကွက်,Kachin Su Quarter,ward,6610,6630,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,a4535307-9b00-471c-908d-ccc077253a3a,linked_exact_local_area,Unique exact approved local-admin under matched township
0101010,linked_exact_local_area,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ကျွန်းပင်သာ ရပ်ကွက်,Kyun Pin Thar Quarter,ward,6610,6631,exact_my+en,exact_local_under_township,0,1,1,Unique exact approved local-admin under matched township,,77d2ee3e-167d-45b1-81d3-54ae1bdd6965,linked_exact_local_area,Unique exact approved local-admin under matched township
