region_en,township_en,status,count
Ayeyarwady Region,Ahmar Town,non_admin_postal_locality,4
Ayeyarwady Region,Ahtaung Town,non_admin_postal_locality,4
Ayeyarwady Region,Ahthoke Town,linked_exact_local_area,5
Ayeyarwady Region,Batye Town,linked_exact_local_area,2
Ayeyarwady Region,Bogale Township,linked_exact_local_area,86
Ayeyarwady Region,Chaung Thar Town,non_admin_postal_locality,3
Ayeyarwady Region,Danubyu Township,linked_exact_local_area,81
Ayeyarwady Region,Dedaye Township,linked_exact_local_area,93
Ayeyarwady Region,Du Yar Town,linked_exact_local_area,5
Ayeyarwady Region,Einme Township,linked_exact_local_area,102
Ayeyarwady Region,Einme Township,missing_local_admin_identity,1
Ayeyarwady Region,Hainggyikyun Town,non_admin_postal_locality,3
Ayeyarwady Region,Hinthada Township,linked_after_review,1
Ayeyarwady Region,Hinthada Township,linked_exact_local_area,120
Ayeyarwady Region,Hinthada Township,missing_local_admin_identity,3
Ayeyarwady Region,Htoogyi Town,non_admin_postal_locality,5
Ayeyarwady Region,In Pin Town,non_admin_postal_locality,4
Ayeyarwady Region,Ingapu Township,linked_exact_local_area,74
Ayeyarwady Region,Ingapu Township,missing_local_admin_identity,3
Ayeyarwady Region,Kanaung Town,non_admin_postal_locality,5
Ayeyarwady Region,Kangyidaunt Township,linked_exact_local_area,80
Ayeyarwady Region,Kyaiklat Township,linked_exact_local_area,93
Ayeyarwady Region,Kyangin Township,linked_exact_local_area,33
Ayeyarwady Region,Kyaunggon Township,linked_exact_local_area,65
Ayeyarwady Region,Kyaunggon Township,missing_local_admin_identity,3
Ayeyarwady Region,Kyonmangae Town,non_admin_postal_locality,5
Ayeyarwady Region,Kyonpyaw Town Township,linked_exact_local_area,93
Ayeyarwady Region,Kyonpyaw Town Township,missing_local_admin_identity,1
Ayeyarwady Region,Labutta (3) Mile Town,non_admin_postal_locality,4
Ayeyarwady Region,Labutta Township,linked_exact_local_area,75
Ayeyarwady Region,Lemyethna Township,linked_exact_local_area,48
Ayeyarwady Region,Maubin Township,linked_exact_local_area,88
Ayeyarwady Region,Mawlamyinegyun Township,linked_after_review,1
Ayeyarwady Region,Mawlamyinegyun Township,linked_exact_local_area,120
Ayeyarwady Region,Me Za Li Kone Town,non_admin_postal_locality,4
Ayeyarwady Region,Myanaung Township,linked_after_review,2
Ayeyarwady Region,Myanaung Township,linked_exact_local_area,62
Ayeyarwady Region,Myaungmya Township,linked_exact_local_area,98
Ayeyarwady Region,Myaungmya Township,missing_local_admin_identity,16
Ayeyarwady Region,Ngapudaw Township,linked_exact_local_area,83
Ayeyarwady Region,Ngapudaw Township,missing_local_admin_identity,4
Ayeyarwady Region,Ngathaingchaung Town,ambiguous_local_area,1
Ayeyarwady Region,Ngathaingchaung Town,linked_exact_local_area,5
Ayeyarwady Region,Ngayokekaung Town,non_admin_postal_locality,2
Ayeyarwady Region,Ngwesaung Town,non_admin_postal_locality,4
Ayeyarwady Region,Nyaungdon Township,linked_exact_local_area,54
Ayeyarwady Region,Pantanaw Township,linked_exact_local_area,56
Ayeyarwady Region,Pathein Township,linked_exact_local_area,68
Ayeyarwady Region,Pyapon Township,linked_exact_local_area,71
Ayeyarwady Region,Pyinsalu Town,non_admin_postal_locality,3
Ayeyarwady Region,Shwethaungyan Town,non_admin_postal_locality,3
Ayeyarwady Region,Ta Loke Htaw Town,non_admin_postal_locality,5
Ayeyarwady Region,Thabaung Township,linked_exact_local_area,67
Ayeyarwady Region,Thabaung Township,missing_local_admin_identity,3
Ayeyarwady Region,Wakema Township,linked_exact_local_area,127
Ayeyarwady Region,Wakema Township,missing_local_admin_identity,15
Ayeyarwady Region,Yegyi Township,ambiguous_local_area,1
Ayeyarwady Region,Yegyi Township,linked_exact_local_area,91
Ayeyarwady Region,Yegyi Township,missing_local_admin_identity,1
Ayeyarwady Region,Zalun Township,linked_exact_local_area,71
Bago Region (East),Bago Township,linked_exact_local_area,67
Bago Region (East),Bago Township,missing_local_admin_identity,33
Bago Region (East),Daik-U Township,linked_exact_local_area,53
Bago Region (East),Hpa Do Town,linked_exact_local_area,5
Bago Region (East),Hpayargyi Town,non_admin_postal_locality,3
Bago Region (East),Hswar Town,non_admin_postal_locality,2
Bago Region (East),Htantabin Township,linked_exact_local_area,29
Bago Region (East),Htantabin Township,missing_local_admin_identity,6
Bago Region (East),Inntakaw Town,non_admin_postal_locality,6
Bago Region (East),Kanyutkwin Town,non_admin_postal_locality,4
Bago Region (East),Kawa Township,linked_exact_local_area,96
Bago Region (East),Kawa Township,missing_local_admin_identity,2
Bago Region (East),Kaytumati Town,non_admin_postal_locality,4
Bago Region (East),Kyaukkyi Township,linked_exact_local_area,32
Bago Region (East),Kyaukkyi Township,missing_local_admin_identity,21
Bago Region (East),Kyauktaga Township,linked_exact_local_area,51
Bago Region (East),Kyauktaga Township,missing_local_admin_identity,1
Bago Region (East),Kywe Pwe Town,non_admin_postal_locality,5
Bago Region (East),Madauk Town,non_admin_postal_locality,2
Bago Region (East),Myo Hla Town,non_admin_postal_locality,5
Bago Region (East),Nyaunglebin Township,linked_exact_local_area,53
Bago Region (East),Nyaunglebin Township,missing_local_admin_identity,1
Bago Region (East),Oktwin Township,linked_exact_local_area,40
