sibling_source_row,sibling_pcode,sibling_name_en,sibling_name_my,inter_m2,overlap_of_target,overlap_of_sibling
12468,MMR015005021,Pang Kaw (Lower),ပန်ကော် (အောက်),6.879879022789713e-05,9.714978195179014e-15,1.6433387664703121e-13
12416,MMR015005051,Hway Waun,ဟွေဝိုင်း,5.334273518075097e-05,4.823059673855898e-15,1.254919850514902e-13
12467,MMR015005080,Pang Hpein,ပန်ဖိန်း,4.781684847611663e-05,4.307982471663728e-15,1.7183183201625718e-13
12414,MMR015005081,Huong Kut,ဟုန်းကွတ်,3.42238054104561e-05,4.833858878858137e-15,2.233007411886622e-13
12409,MMR015005082,Hsa Lar,ဆလား,3.3646723001622136e-05,6.916232109560777e-15,1.8083875040210654e-13
12411,MMR015005084,Hson Hpoet,ဆုံဖို့,2.9778622330090508e-05,2.811586665965062e-15,1.6634424482646692e-13
12476,MMR015005075,Ta Aw Long,တအော်လုံ,2.765949165436151e-05,7.869659713770615e-15,2.8235433995674296e-13
12461,MMR015314002,Nawng Hkit,နောင် ခေတ်,2.7418136596679688e-05,9.251873366339777e-15,4.319489945818617e-14
12453,MMR015005085,Nam Tawng,နမ့်တောင်း,2.7025356026553256e-05,5.211035722572384e-15,2.627448267357743e-13
12423,MMR015005061,Kun Ka,ကွန်က,2.4080276489257812e-05,2.018066989509146e-15,6.322844905164084e-14
12410,MMR015005064,Hsan Lu,ဆန်လု,2.0279899046270373e-05,5.796439719974234e-15,3.2447462133228013e-13
12415,MMR015005079,Huong Put,ဟုန်းပွတ်,1.955452218570155e-05,2.157019342212582e-15,3.1957428000794654e-14
12444,MMR015005007,Mut Pa Lawt,မွတ်ပလော့,1.6123056411743164e-05,1.2338717951013265e-14,3.7194470367188565e-13
12438,MMR015005017,Mar Teit,မာတဲ့,1.4662742614746094e-05,1.9977397666340408e-14,2.156091577075785e-13
12440,MMR015005040,Maw Pa Long,မော်ပလုံ,1.0345272156888317e-05,5.335853961270564e-15,1.9024156630135778e-13
12445,MMR015005037,Mut Sa Moet,မွတ်စမို့,7.536403271848034e-06,1.7654042589997605e-15,3.5752028224915105e-14
12417,MMR015005010,Ka Hsint,ကဆင့်,6.161630153656006e-06,2.6936573136075245e-14,2.5466359916855965e-13
12439,MMR015005041,Maw Hpyaik (Nawng Chan),မော်ဖြိုက် (နောင်ချမ်),6.158394973885661e-06,9.87206187710026e-15,3.2651777798226276e-13
12427,MMR015005038,Long Lat Hsin,လုံလတ်ဆင်,5.841255187988281e-06,1.4779510542755158e-14,4.614280333969618e-13
12487,MMR015005003,Yay Hson,ယေးဆုံ,1.7881393432617188e-07,9.466331027999555e-15,3.727799546517362e-13
