group_id,township_public_id,township_core_id,township_en,township_mm,locality_type,normalized_name_mm,normalized_name_en,locality_mm,locality_en,postal_row_count,unique_postal_codes,postal_codes,prior_statuses,action,selected_admin_public_id,proposed_alias_mm,proposed_alias_en,name_evidence,mimu_hit_count,candidate_count,reason,preserve_existing_geom,production_apply
3a9f781ed9c2,938a79c1-c5f0-4a7a-9f2a-120dff8c8750,7187,Ngathaingchaung Town,ငသိုင်းချောင်း မြို့,ward,မ,myoma,မြို့မ ရပ်ကွက်,Myo Ma Quarter,2,2,1008005;1070002,ambiguous_local_area,confirmed_non_admin,,,,multiple_candidates,2,2,multiple candidates / conflict; no unique exact proof,true,false
4353d59b29af,00bb5083-77f4-4aa5-8a54-ba210d766395,6660,Mogaung Township,မိုးကောင်း မြို့နယ်,village_tract,နမ္မတီး,nammatee,နမ္မတီး ကျေးရွာအုပ်စု,Nam Ma Tee Village Tract,1,1,0110229,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
9572d4501c68,00bb5083-77f4-4aa5-8a54-ba210d766395,6660,Mogaung Township,မိုးကောင်း မြို့နယ်,village_tract,နမ်းခမ်း,namhkam,နမ်းခမ်း ကျေးရွာအုပ်စု,Nam Hkam Village Tract,1,1,0110237,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
141c243665f0,00bb5083-77f4-4aa5-8a54-ba210d766395,6660,Mogaung Township,မိုးကောင်း မြို့နယ်,village_tract,နောင်ကိုင်ထော်,nawngkainghtaw,နောင်ကိုင်ထော် ကျေးရွာအုပ်စု,Nawng Kaing Htaw Village Tract,1,1,0110201,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
164175f02357,00bb5083-77f4-4aa5-8a54-ba210d766395,6660,Mogaung Township,မိုးကောင်း မြို့နယ်,village_tract,မုတ်နောင်,mokenawng,မုတ်နောင် ကျေးရွာအုပ်စု,Moke Nawng Village Tract,1,1,0110212,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
88629b5b9f53,02024cd8-8421-4c25-8e3f-bd6ecf574ed5,5091,Munaung Township,မာန်အောင် မြို့နယ်,ward,ကမ်းနားတန်း,kannartan,ကမ်းနားတန်း ရပ်ကွက်,Kan Nar Tan Quarter,1,1,0714005,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
b0494292b88c,02024cd8-8421-4c25-8e3f-bd6ecf574ed5,5091,Munaung Township,မာန်အောင် မြို့နယ်,ward,မ,myoma,မြို့မ ရပ်ကွက်,Myo Ma Quarter,1,1,0714002,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
f6e44868afdd,02024cd8-8421-4c25-8e3f-bd6ecf574ed5,5091,Munaung Township,မာန်အောင် မြို့နယ်,ward,ရန်အောင်မြင်,yanaungmyin,ရန်အောင်မြင် ရပ်ကွက်,Yan Aung Myin Quarter,1,1,0714003,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
d2be73ddd087,02024cd8-8421-4c25-8e3f-bd6ecf574ed5,5091,Munaung Township,မာန်အောင် မြို့နယ်,ward,သစ်,myothit,မြို့သစ် ရပ်ကွက်,Myo Thit Quarter,1,1,0714004,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
b333297b311f,02024cd8-8421-4c25-8e3f-bd6ecf574ed5,5091,Munaung Township,မာန်အောင် မြို့နယ်,ward,အနောက်စု,ahnauksu,အနောက်စု ရပ်ကွက်,Ah Nauk Su Quarter,1,1,0714001,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
5ab22b42e986,02191b8a-704d-444d-9c61-2fd279e40ed1,6941,Paletwa Township,ပလက်ဝ မြို့နယ်,village_tract,ကင်ဝ,kinwa,ကင်ဝ ကျေးရွာအုပ်စု,Kin Wa Village Tract,1,1,0309200,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
45fe5ef10922,02191b8a-704d-444d-9c61-2fd279e40ed1,6941,Paletwa Township,ပလက်ဝ မြို့နယ်,village_tract,ဆမီး,samee,ဆမီး ကျေးရွာအုပ်စု,Sa Mee Village Tract,1,1,0309257,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
e2e266080585,02191b8a-704d-444d-9c61-2fd279e40ed1,6941,Paletwa Township,ပလက်ဝ မြို့နယ်,ward,ကင်ဝ,kinwa,ကင်ဝ ရပ်ကွက်,KinWa Quarter,1,1,0309004,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
093c8688e0b3,095293bf-0b9b-4ab3-abe0-3912b48f1b1e,6588,Katha Township,ကသာ မြို့နယ်,ward,စက်ပန်း,setpan,စက်ပန်း ရပ်ကွက်,Set Pan Quarter,1,1,0215006,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
702d70aa910f,095293bf-0b9b-4ab3-abe0-3912b48f1b1e,6588,Katha Township,ကသာ မြို့နယ်,ward,ဇေယျာချောင်,zayyarchaung,ဇေယျာချောင် ရပ်ကွက်,Zay Yar Chaung Quarter,1,1,0215005,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
a1655e8f6452,095293bf-0b9b-4ab3-abe0-3912b48f1b1e,6588,Katha Township,ကသာ မြို့နယ်,ward,တောင်ပိုင်း,taungpaing,တောင်ပိုင်း ရပ်ကွက်,Taung Paing Quarter,1,1,0215003,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
cb50fa9ab7a6,095293bf-0b9b-4ab3-abe0-3912b48f1b1e,6588,Katha Township,ကသာ မြို့နယ်,ward,ပတ္တမြား,padamyar,ပတ္တမြား ရပ်ကွက်,Pa Da Myar Quarter,1,1,0215009,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
0ca93979c513,095293bf-0b9b-4ab3-abe0-3912b48f1b1e,6588,Katha Township,ကသာ မြို့နယ်,ward,ပိန္နဲကုန်း,peinhnekone,ပိန္နဲကုန်း ရပ်ကွက်,Pein Hne Kone Quarter,1,1,0215008,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
85b77d202493,095293bf-0b9b-4ab3-abe0-3912b48f1b1e,6588,Katha Township,ကသာ မြို့နယ်,ward,မြောက်ပိုင်း,myaukpaing,မြောက်ပိုင်း ရပ်ကွက်,Myauk Paing Quarter,1,1,0215001,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
592c193457ad,095293bf-0b9b-4ab3-abe0-3912b48f1b1e,6588,Katha Township,ကသာ မြို့နယ်,ward,လျှပ်စစ်ကုန်း,hlyatsitkone,လျှပ်စစ်ကုန်း ရပ်ကွက်,Hlyat Sit Kone Quarter,1,1,0215007,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
974d2e4c817b,095293bf-0b9b-4ab3-abe0-3912b48f1b1e,6588,Katha Township,ကသာ မြို့နယ်,ward,သဖန်းဆိုင်း,thahpansaing,သဖန်းဆိုင်း ရပ်ကွက်,Tha Hpan Saing Quarter,1,1,0215010,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
bcb5018bf5ee,095293bf-0b9b-4ab3-abe0-3912b48f1b1e,6588,Katha Township,ကသာ မြို့နယ်,ward,သူဌေးကုန်း,thuhtaykone,သူဌေးကုန်း ရပ်ကွက်,Thu Htay Kone Quarter,1,1,0215004,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
e9582e911ed4,095293bf-0b9b-4ab3-abe0-3912b48f1b1e,6588,Katha Township,ကသာ မြို့နယ်,ward,အလယ်ပိုင်း,ahlelpaing,အလယ်ပိုင်း ရပ်ကွက်,Ah Lel Paing Quarter,1,1,0215002,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
1a8011d0c1ab,096f8dca-1a90-4741-a264-840963b4794f,6687,Khaunglanhpu Township,ခေါင်လန်ဖူး မြို့နယ်,ward,၁,1,အမှတ် (၁) ရပ်ကွက်,No (1) Quarter,1,1,0118001,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
b3d6a7cecd62,096f8dca-1a90-4741-a264-840963b4794f,6687,Khaunglanhpu Township,ခေါင်လန်ဖူး မြို့နယ်,ward,၂,2,အမှတ် (၂) ရပ်ကွက်,No (2) Quarter,1,1,0118002,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
026d9f9683ab,096f8dca-1a90-4741-a264-840963b4794f,6687,Khaunglanhpu Township,ခေါင်လန်ဖူး မြို့နယ်,ward,၃,3,အမှတ် (၃) ရပ်ကွက်,No (3) Quarter,1,1,0118003,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
7f6d1eb0a41d,096f8dca-1a90-4741-a264-840963b4794f,6687,Khaunglanhpu Township,ခေါင်လန်ဖူး မြို့နယ်,ward,၄,4,အမှတ် (၄) ရပ်ကွက်,No (4) Quarter,1,1,0118004,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
b869c66c6d22,0a007cb6-42ca-4887-8528-30777e3cb976,6029,Za Bu Thi Ri Township,ဇမ္ဗူသီရိ မြို့နယ်,village_tract,ပြန့်ကပြေး,pyantkapyay,ပြန့်ကပြေး ကျေးရွာအုပ်စု,Pyant Ka Pyay Village Tract,1,1,1501202,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
6676483e54a7,0a007cb6-42ca-4887-8528-30777e3cb976,6029,Za Bu Thi Ri Township,ဇမ္ဗူသီရိ မြို့နယ်,ward,ဓနသိဒ္ဓိ,dhanatheikdi,ဓနသိဒ္ဓိ ရပ်ကွက်,Dha Na Theik Di Quarter,1,1,1501010,ambiguous_local_area,confirmed_non_admin,,,,multiple_candidates,1,3,multiple CoreMap candidates; cannot auto-match without unique bilingual proof,true,false
65f4fb872e49,0a007cb6-42ca-4887-8528-30777e3cb976,6029,Za Bu Thi Ri Township,ဇမ္ဗူသီရိ မြို့နယ်,ward,ဗလသိဒ္ဓိ,balatheikdi,ဗလသိဒ္ဓိ ရပ်ကွက်,Ba La Theik Di Quarter,1,1,1501009,missing_local_admin_identity,confirmed_non_admin,,,,multiple_candidates,1,2,multiple CoreMap candidates; cannot auto-match without unique bilingual proof,true,false
8547fa830587,0a75da9d-650b-4084-9851-235afc2b7bc8,6006,Bawlake Township,ဘောလခဲ မြို့နယ်,village_tract,နန်းလင်း,nanlin,နန်းလင်း ကျေးရွာအုပ်စု,Nan Lin Village Tract,1,1,0904206,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
dc008233159f,0a75da9d-650b-4084-9851-235afc2b7bc8,6006,Bawlake Township,ဘောလခဲ မြို့နယ်,ward,ကယားပိုင်း,kayahpaing,ကယားပိုင်း ရပ်ကွက်,Kayah Paing Quarter,1,1,0904001,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
9dda6fd66140,0a75da9d-650b-4084-9851-235afc2b7bc8,6006,Bawlake Township,ဘောလခဲ မြို့နယ်,ward,ရှမ်းပိုင်း,shanpaing,ရှမ်းပိုင်း ရပ်ကွက်,Shan Paing Quarter,1,1,0904002,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
b0b5b991e42e,0c1e0422-330d-4f9e-b926-17fd75d00a9c,5030,Kawkareik Township,ကော့ကရိတ် မြို့နယ်,ward,ချောင်းတောင်,chaungtaung,ချောင်းတောင် ရပ်ကွက်,Chaung Taung Quarter,1,1,1306001,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
6ea772c985f9,0c1e0422-330d-4f9e-b926-17fd75d00a9c,5030,Kawkareik Township,ကော့ကရိတ် မြို့နယ်,ward,တံတားဦး,tadaru,တံတားဦး ရပ်ကွက်,Ta Dar U Quarter,1,1,1306007,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
a67dce335e35,0c1e0422-330d-4f9e-b926-17fd75d00a9c,5030,Kawkareik Township,ကော့ကရိတ် မြို့နယ်,ward,ဝင်းကြီး,wingyi,ဝင်းကြီး ရပ်ကွက်,Win Gyi Quarter,1,1,1306002,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
8a57f7facd02,0c1e0422-330d-4f9e-b926-17fd75d00a9c,5030,Kawkareik Township,ကော့ကရိတ် မြို့နယ်,ward,အထက်တောင်သူစု,ahhtettaungthusu,အထက်တောင်သူစု ရပ်ကွက်,Ah Htet Taung Thu Su Quarter,1,1,1306004,missing_local_admin_identity,confirmed_non_admin,,,,no_exact,0,0,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,true,false
