group_id,postal_codes,postal_row_count,locality_mm,locality_en,normalized_name_mm,normalized_name_en,township_en,township_mm,township_public_id,township_core_id,expected_locality_type,candidate_ids,candidate_public_ids,candidate_mm_en_primary,candidate_aliases,candidate_type_hierarchy,candidate_summary,mimu_hits,name_evidence,recommendation,review_decision,selected_admin_public_id,proposed_alias_mm,proposed_alias_en,review_note,preview_file
3a9f781ed9c2,1008005;1070002,2,မြို့မ ရပ်ကွက်,Myo Ma Quarter,မ,myoma,Ngathaingchaung Town,ငသိုင်းချောင်း မြို့,938a79c1-c5f0-4a7a-9f2a-120dff8c8750,7187,ward,7262;7269,f58552ab-5582-4170-ae18-aee9fc84715b;7ec6eadf-2545-4e0e-8176-4ab68f29d4fd,မြို့မရပ်ကွက် /  || မြို့မရပ်ကွက် / ,mm=[];en=[Myo Ma Ward] || mm=[];en=[Myo Ma Ward],ward|parent=938a79c1-c5f0-4a7a-9f2a-120dff8c8750 || ward|parent=938a79c1-c5f0-4a7a-9f2a-120dff8c8750,7262/f58552ab-5582-4170-ae18-aee9fc84715b:ward:မြို့မရပ်ကွက်/(aliases_mm=;aliases_en=Myo Ma Ward) || 7269/7ec6eadf-2545-4e0e-8176-4ab68f29d4fd:ward:မြို့မရပ်ကွက်/(aliases_mm=;aliases_en=Myo Ma Ward),MMR017006701505:Myo Ma Ward/မြို့မရပ်ကွက်;MMR017006702502:Myo Ma Ward/မြို့မရပ်ကွက်,multiple_candidates,confirmed_non_admin,confirmed_non_admin,,,,multiple candidates / conflict; no unique exact proof,02-postal-review-previews/3a9f781ed9c2.json
4353d59b29af,0110229,1,နမ္မတီး ကျေးရွာအုပ်စု,Nam Ma Tee Village Tract,နမ္မတီး,nammatee,Mogaung Township,မိုးကောင်း မြို့နယ်,00bb5083-77f4-4aa5-8a54-ba210d766395,6660,village_tract,,,,,,,,no_exact,confirmed_non_admin,confirmed_non_admin,,,,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,02-postal-review-previews/4353d59b29af.json
9572d4501c68,0110237,1,နမ်းခမ်း ကျေးရွာအုပ်စု,Nam Hkam Village Tract,နမ်းခမ်း,namhkam,Mogaung Township,မိုးကောင်း မြို့နယ်,00bb5083-77f4-4aa5-8a54-ba210d766395,6660,village_tract,,,,,,,,no_exact,confirmed_non_admin,confirmed_non_admin,,,,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,02-postal-review-previews/9572d4501c68.json
141c243665f0,0110201,1,နောင်ကိုင်ထော် ကျေးရွာအုပ်စု,Nawng Kaing Htaw Village Tract,နောင်ကိုင်ထော်,nawngkainghtaw,Mogaung Township,မိုးကောင်း မြို့နယ်,00bb5083-77f4-4aa5-8a54-ba210d766395,6660,village_tract,,,,,,,,no_exact,confirmed_non_admin,confirmed_non_admin,,,,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,02-postal-review-previews/141c243665f0.json
164175f02357,0110212,1,မုတ်နောင် ကျေးရွာအုပ်စု,Moke Nawng Village Tract,မုတ်နောင်,mokenawng,Mogaung Township,မိုးကောင်း မြို့နယ်,00bb5083-77f4-4aa5-8a54-ba210d766395,6660,village_tract,,,,,,,,no_exact,confirmed_non_admin,confirmed_non_admin,,,,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,02-postal-review-previews/164175f02357.json
88629b5b9f53,0714005,1,ကမ်းနားတန်း ရပ်ကွက်,Kan Nar Tan Quarter,ကမ်းနားတန်း,kannartan,Munaung Township,မာန်အောင် မြို့နယ်,02024cd8-8421-4c25-8e3f-bd6ecf574ed5,5091,ward,,,,,,,,no_exact,confirmed_non_admin,confirmed_non_admin,,,,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,02-postal-review-previews/88629b5b9f53.json
b0494292b88c,0714002,1,မြို့မ ရပ်ကွက်,Myo Ma Quarter,မ,myoma,Munaung Township,မာန်အောင် မြို့နယ်,02024cd8-8421-4c25-8e3f-bd6ecf574ed5,5091,ward,,,,,,,,no_exact,confirmed_non_admin,confirmed_non_admin,,,,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,02-postal-review-previews/b0494292b88c.json
f6e44868afdd,0714003,1,ရန်အောင်မြင် ရပ်ကွက်,Yan Aung Myin Quarter,ရန်အောင်မြင်,yanaungmyin,Munaung Township,မာန်အောင် မြို့နယ်,02024cd8-8421-4c25-8e3f-bd6ecf574ed5,5091,ward,,,,,,,,no_exact,confirmed_non_admin,confirmed_non_admin,,,,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,02-postal-review-previews/f6e44868afdd.json
d2be73ddd087,0714004,1,မြို့သစ် ရပ်ကွက်,Myo Thit Quarter,သစ်,myothit,Munaung Township,မာန်အောင် မြို့နယ်,02024cd8-8421-4c25-8e3f-bd6ecf574ed5,5091,ward,,,,,,,,no_exact,confirmed_non_admin,confirmed_non_admin,,,,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,02-postal-review-previews/d2be73ddd087.json
b333297b311f,0714001,1,အနောက်စု ရပ်ကွက်,Ah Nauk Su Quarter,အနောက်စု,ahnauksu,Munaung Township,မာန်အောင် မြို့နယ်,02024cd8-8421-4c25-8e3f-bd6ecf574ed5,5091,ward,,,,,,,,no_exact,confirmed_non_admin,confirmed_non_admin,,,,no CoreMap or MIMU exact identity under township; keep as non-linked postal locality,02-postal-review-previews/b333297b311f.json
