group_key,township_en,township_mm,township_is_town_label,resolved_township_public_id,resolved_township_core_id,township_resolve_note,locality_type,locality_en,locality_mm,normalized_name_en,normalized_name_mm,postal_row_count,postal_codes,coremap_candidate_count,coremap_candidate_public_ids,mimu_hit_count,mimu_source_pcodes,audit_decision,audit_note,name_evidence
myohla|ward|၁|1,Myo Hla Town,မြို့လှ မြို့,true,,,unresolved,ward,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,1,၁,2,0171001;0871001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
myohla|ward|၂|2,Myo Hla Town,မြို့လှ မြို့,true,,,unresolved,ward,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,2,၂,2,0171002;0871002,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
myohla|ward|၃|3,Myo Hla Town,မြို့လှ မြို့,true,,,unresolved,ward,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,3,၃,2,0171003;0871003,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
myohla|ward|၄|4,Myo Hla Town,မြို့လှ မြို့,true,,,unresolved,ward,No (4) Quarter,အမှတ် (၄) ရပ်ကွက်,4,၄,2,0171004;0871004,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
pinlon|ward|၁၁|1,- | Pinlon Town,- | ပင်လုံ မြို့,true,,,unresolved,ward,No (1) Quarter,ရပ်ကွက် (၁) ရပ်ကွက် | အမှတ် (၁) ရပ်ကွက်,1,၁၁,1,0668001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
pinlon|ward|၂၂|2,- | Pinlon Town,- | ပင်လုံ မြို့,true,,,unresolved,ward,No (2) Quarter,ရပ်ကွက် (၂) ရပ်ကွက် | အမှတ် (၂) ရပ်ကွက်,2,၂၂,1,0668002,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
pinlon|ward|၃၃|3,- | Pinlon Town,- | ပင်လုံ မြို့,true,,,unresolved,ward,No (3) Quarter,ရပ်ကွက် (၃) ရပ်ကွက် | အမှတ် (၃) ရပ်ကွက်,3,၃၃,1,0668003,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
pinlon|ward|၄၄|4,- | Pinlon Town,- | ပင်လုံ မြို့,true,,,unresolved,ward,No (4) Quarter,ရပ်ကွက် (၄) ရပ်ကွက် | အမှတ် (၄) ရပ်ကွက်,4,၄၄,1,0668004,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ahmar|ward|၁|1,Ahmar Town,အမာ မြို့,true,,,unresolved,ward,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,1,၁,1,1078001,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
ahmar|ward|၂|2,Ahmar Town,အမာ မြို့,true,,,unresolved,ward,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,2,၂,1,1078002,0,,0,,confirmed_non_admin,town-parent postal ward/VT with no CoreMap/MIMU unique identity under resolved parent,no_exact
