admin_public_id,language_code,alias_name,normalized_alias,preserve_primary,replace_primary,source_postal_code,reason,manifest_version,production_apply
d3c638d3-0e5b-429a-90c0-e61717a32038,en,Pam Ma Ti Village Tract,pammati,true,false,0101205,postal EN spelling not in primary/alias set,v3,false
cb335311-69c1-4cd9-a952-8426c546c9c8,en,Hkaung Hpu Ywar Thit Village Tract,hkaunghpuywarthit,true,false,0101213,postal EN spelling not in primary/alias set,v3,false
b77eb9e6-1077-4593-b657-b08b2a0c4992,en,Hkaung Hpu Ywar Haung Village Tract,hkaunghpuywarhaung,true,false,0101214,postal EN spelling not in primary/alias set,v3,false
b48385d3-86d6-411d-a09b-716b3c2c33f6,en,Taw Pin Lon Village Tract,tawpinlon,true,false,0101221,postal EN spelling not in primary/alias set,v3,false
5c10e00d-9bc9-4300-a730-591ce40b06c7,en,Waing Lon Village Tract,wainglon,true,false,0101228,postal EN spelling not in primary/alias set,v3,false
9f1e0fb5-756f-4728-9f57-24ffc7430835,en,In Jun Ga Village Tract,injunga,true,false,0102200,postal EN spelling not in primary/alias set,v3,false
cc26d1d2-d4c2-4be6-b012-ec1d0b5fc01e,en,Sam Hpum Ga Village Tract,samhpumga,true,false,0102204,postal EN spelling not in primary/alias set,v3,false
043930c3-d1ee-4a2b-8ecd-82d33c6b9fbc,en,Sha Dan Lawt Khum Village Tract,shadanlawtkhum,true,false,0102209,postal EN spelling not in primary/alias set,v3,false
6fff80ad-fede-49fc-a8ef-b430cb3db51f,en,In Hpyin Ga Village Tract,inhpyinga,true,false,0102211,postal EN spelling not in primary/alias set,v3,false
73884dc2-47d4-46b9-a81c-c21e35ba1a9b,en,Tsum Dwar Ga Village Tract,tsumdwarga,true,false,0102215,postal EN spelling not in primary/alias set,v3,false
01b44fe9-d9f0-4b41-8cbc-2213df4827fc,en,In Htauk Ga Village Tract,inhtaukga,true,false,0102217,postal EN spelling not in primary/alias set,v3,false
5d5fd7ec-6602-4b1f-aa82-c728f0cfb91d,en,Jing Ma Yang Village Tract,jingmayang,true,false,0102222,postal EN spelling not in primary/alias set,v3,false
b170299e-9d83-446b-a437-88f29cd48b5f,en,In Hku Ga Village Tract,inhkuga,true,false,0102226,postal EN spelling not in primary/alias set,v3,false
8e718b3b-a775-476f-bffd-439e7b305319,en,Ka Ring Ga Village Tract,karingga,true,false,0102240,postal EN spelling not in primary/alias set,v3,false
193c61bf-119a-4c8e-84fe-e5579830d6e3,en,War Li Chet Village Tract,warlichet,true,false,0102244,postal EN spelling not in primary/alias set,v3,false
58cee89b-85d8-45ee-b5df-873356e1ccae,en,Naw Hkum Ga Village Tract,nawhkumga,true,false,0102245,postal EN spelling not in primary/alias set,v3,false
1d05ad37-a828-4aee-9e62-4ca1e2ff5118,en,Adan Ga Village Tract,adanga,true,false,0102251,postal EN spelling not in primary/alias set,v3,false
c189f5aa-5c73-4647-bb2f-cbadc9147666,en,Ma Khum Kan Village Tract,makhumkan,true,false,0103212,postal EN spelling not in primary/alias set,v3,false
1b1cb62c-6c14-4cd9-95f5-328eefd475c2,en,Ah Lang Ga Village Tract,ahlangga,true,false,0104205,postal EN spelling not in primary/alias set,v3,false
5a740316-dbbd-45a9-a06f-e046eadc82b4,en,Ma Jang Ga Village Tract,majangga,true,false,0104209,postal EN spelling not in primary/alias set,v3,false
572fbfea-9d1c-4717-8840-4007c8743bb8,en,Shin Naw Ga Village Tract,shinnawga,true,false,0104219,postal EN spelling not in primary/alias set,v3,false
ebc3602f-5d0a-42d9-971d-95a19a64f298,en,Sarl Hkam Dam Village Tract,sarlhkamdam,true,false,0105200,postal EN spelling not in primary/alias set,v3,false
b573eb09-b1da-4d57-bf6d-7e6f21d774c9,en,Pu Taung Village Tract,putaung,true,false,0105204,postal EN spelling not in primary/alias set,v3,false
bf408ee4-6b8e-4ba6-b826-c028c9b5604a,en,Man Say Khun Village Tract,mansaykhun,true,false,0105207,postal EN spelling not in primary/alias set,v3,false
3f2efd36-8282-4570-8b9a-02161c0d5042,en,Lon Sha Yang Village Tract,lonshayang,true,false,0105211,postal EN spelling not in primary/alias set,v3,false
