postal_code,status,region_mm,region_en,township_mm,township_en,locality_mm,locality_en,inferred_locality_type,matched_township_public_id,matched_township_id,matched_local_admin_public_id,matched_local_admin_area_id,name_evidence,match_method,reason,v2_status,manifest_version,production_apply,preserve_existing_geom
0101001,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ဧရာ ရပ်ကွက်,Aye Yar Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,91c47842-3c8a-47ba-814b-8058c362be7b,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101002,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,သီတာ ရပ်ကွက်,Thi Dar Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,db31f588-1101-4055-bcc7-80dbb11f9fa8,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101003,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရန်ကြီးအောင် ရပ်ကွက်,Yan Gyi Aung Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,48e13c2e-d65a-46bc-abbf-8a4946c08712,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101004,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ဒူကထောင် ရပ်ကွက်,Du Ka Htaung Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,805b0468-4f3e-4653-8ef6-c54c53560c88,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101005,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မြို့မ ရပ်ကွက်,Myo Ma Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,ea757314-3d7a-499a-9491-2c7e7661c8bb,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101006,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မင်းရပ် ရပ်ကွက်,Min Yat Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,ab57d1f2-a8a5-4305-84f0-1818ce4b49ca,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101007,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရှမ်းစုမြောက် ရပ်ကွက်,Shan Su (North) Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,4d764b97-c200-4449-a4a4-301cb06fcd41,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101008,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရှမ်းစုတောင် ရပ်ကွက်,Shan Su (South) Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,6e4c3f52-3e57-445d-a190-8d2e016c825a,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101009,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ကချင်စု ရပ်ကွက်,Kachin Su Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,a4535307-9b00-471c-908d-ccc077253a3a,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101010,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ကျွန်းပင်သာ ရပ်ကွက်,Kyun Pin Thar Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,77d2ee3e-167d-45b1-81d3-54ae1bdd6965,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101011,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,အေးစေတီ ရပ်ကွက်,Aye Zay Di Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,0ca12a27-7d9f-436c-8c37-76a8eebda65d,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101012,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရွှေညောင်ပင် ရပ်ကွက်,Shwe Nyaung Pin Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,d7fe8271-3fa4-404f-be97-40dc2caf5476,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101013,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မြို့သစ် ရပ်ကွက်,Myo Thit Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,d9e8730f-c930-449d-81b3-a06241a2f77e,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101014,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,အောင်နန်းရိပ်သာ ရပ်ကွက်,Aung Nan Yeik Thar Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,04a2ccc3-e7a2-4ffb-ba6c-fc2b14c3cb28,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101015,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ခေမာသီရိ ရပ်ကွက်,Khay Mar Thi Ri Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,56a215e9-72b1-4ccd-896f-201f4f361838,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101016,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ယုဇန ရပ်ကွက်,Yu Za Na Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,6f0361ac-5cfb-46f9-94bf-1cd3d72cce1d,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101017,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မြေမြင့် ရပ်ကွက်,Myay Myint Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,c0667eb7-6d8d-4f73-90c9-516535e926d2,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101018,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရွှေစက် ရပ်ကွက်,Shwe Set Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,2d6e4939-4778-460f-8dd5-99bdb41f5c06,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101019,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,မန်ခိန် ရပ်ကွက်,Man Khein Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,bbaaf9fe-6f01-47dc-afcf-97ac83a1371e,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101020,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,တပ်ကုန်း ရပ်ကွက်,Tat Kone Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,988bb55f-0679-4452-86e0-a2bbb90d09d4,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101021,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,စီတာပူ ရပ်ကွက်,Si Tar Pu Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,f66dbd29-06dd-47ad-8f2f-5c3404adfe23,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
0101022,linked_exact,ကချင်ပြည်နယ်,Kachin State,မြစ်ကြီးနား မြို့နယ်,Myitkyina Township,ရမ်ပူ ရပ်ကွက်,Ram Pu Quarter,ward,96224d14-78b1-4bb9-84b2-c1fc64d41b95,,5c2cc739-368c-40c2-b715-aa5b22a76671,,exact_my+en,exact_local_under_township,Unique exact approved local-admin under matched township,linked_exact_local_area,v3,false,true
