review_id,source_key,review_decision,selected_core_id,losing_core_ids,name_source,geometry_policy,review_note,updated_at
ward:MMR009001701515:row81:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR009001701515:row81:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,keep_both,7015,,,,smoke test defer,2026-09-21T10:04:12.798Z
ward:MMR017020701502:row370:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR017020701502:row370:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,keep_both,7331,,,,Unique,2026-09-21T10:01:22.619Z
ward:MMR005001701502:row434:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR005001701502:row434:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,match_existing,6849,,,,,2026-09-21T10:04:49.727Z
ward:MMR017020701503:row369:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR017020701503:row369:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,keep_both,7331,,,,,2026-09-21T10:05:00.949Z
ward:MMR017020701501:row371:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR017020701501:row371:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,keep_both,7331,,,,,2026-09-21T10:05:09.189Z
ward:MMR011001701526:row506:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR011001701526:row506:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,keep_both,5087,,,,,2026-09-21T10:05:18.642Z
ward:MMR013002701514:row1043:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR013002701514:row1043:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,keep_both,5783,,,,,2026-09-21T10:05:23.943Z
ward:MMR013018701526:row1133:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR013018701526:row1133:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,reject_source_error,,,,,,2026-09-21T10:08:43.945Z
ward:MMR013018701525:row1134:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR013018701525:row1134:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,reject_source_error,,,,,,2026-09-21T10:09:00.112Z
ward:MMR013021701532:row1213:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR013021701532:row1213:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,keep_both,5187,,,,,2026-09-21T10:09:05.889Z
ward:MMR013021701534:row1227:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR013021701534:row1227:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,keep_both,5187,,,,,2026-09-21T10:09:20.477Z
ward:MMR007008701505:row1421:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR007008701505:row1421:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,reject_source_error,,,,,,2026-09-21T10:09:36.138Z
ward:MMR010018701504:row1546:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR010018701504:row1546:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,reject_source_error,,,,,,2026-09-21T10:09:41.426Z
ward:MMR018002701510:row1565:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR018002701510:row1565:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,keep_both,6011,,,,,2026-09-21T10:10:52.772Z
ward:MMR018002701509:row1574:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,ward:MMR018002701509:row1574:ward_boundary_countrywide_v94.zip_mmr_polbnda_adm5_mimu_v9_4.shp,reject_source_error,,,,,,2026-09-21T10:10:57.803Z
