id,postal_code,township_admin_area_id,local_admin_area_id,match_status,match_method,source_version,updated_at
1,0101001,6610,6595,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
2,0101002,6610,6647,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
3,0101003,6610,6638,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
4,0101004,6610,6646,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
5,0101005,6610,6519,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
6,0101006,6610,6354,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
7,0101007,6610,6349,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
8,0101008,6610,6636,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
9,0101009,6610,6630,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
10,0101010,6610,6631,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
11,0101011,6610,6635,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
12,0101012,6610,6634,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
13,0101013,6610,6418,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
14,0101014,6610,6639,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
15,0101015,6610,6641,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
16,0101016,6610,6605,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
17,0101017,6610,6606,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
18,0101018,6610,6658,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
19,0101019,6610,6656,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
20,0101020,6610,6650,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
21,0101021,6610,6648,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
22,0101022,6610,6637,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
23,0101023,6610,6640,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
24,0101024,6610,6642,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
25,0101025,6610,6633,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
26,0101026,6610,6645,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
27,0101027,6610,6643,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
28,0101028,6610,6644,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
29,0101200,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
30,0101201,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
31,0101202,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
32,0101203,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
33,0101204,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
34,0101205,6610,6644,linked_exact_local_area,exact_local_under_township,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
35,0101206,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
36,0101207,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
37,0101208,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
38,0101209,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
39,0101210,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
40,0101211,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
41,0101212,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
42,0101213,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
43,0101214,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
44,0101215,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
45,0101216,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
46,0101217,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
47,0101218,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
48,0101219,6610,,missing_local_area,exact_pending_create,V1.0 (September 2021),2026-09-21 13:56:14.565874+00
