postal_code,region_name_en,region_name_my,township_name_en,township_name_my,locality_name_en,locality_name_my,locality_type,township_admin_area_id,local_admin_area_id,match_status,match_method,review_reason
0101200,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Alam Village Tract,အာလမ် ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101201,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Nawng Nang Village Tract,နောင်နန်း ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101202,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Pa La Na Sa Khan Myar Village Tract,ပလနစခန်းများ ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101203,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Nam Kyin Village Tract,နန့်ကျင် ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101204,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Nam Kwayt Village Tract,နန်းကွေ့ ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101206,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Maw Hpawng Village Tract,မော်ဖေါင်း ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101207,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Sha Daung Village Tract,ရှဒေါင် ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101208,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Loi Hkaw Village Tract,လွယ်ခေါ ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101209,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Tang Hpe Village Tract,တန်ဖဲ ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101210,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,In Jit Yang Village Tract,အင်ဂျစ်ယန် ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101211,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Ti Yang Zug Village Tract,တီယန်ဇွပ် ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101212,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Ta Law Gyi Village Tract,တာလောကြီး ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101213,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Hkaung Hpu Ywar Thit Village Tract,ခေါင်ဖူးရွာသစ် ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101214,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Hkaung Hpu Ywar Haung Village Tract,ခေါင်ဖူးရွာဟောင်း ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101215,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Ho Kat Village Tract,ဟိုကပ် ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101216,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,San Kin Village Tract,စံကင်း ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101217,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Ah Kye Village Tract,အကြဲ ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101218,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Myin Thar Village Tract,မြင်သာ ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101219,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Yae Nar Pin Lon Village Tract,ရေနားပင်လုံ ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101220,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Pin Taw Village Tract,ပင်တော် ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101221,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Taw Pin Lon Village Tract,တောပင်လုံ ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101222,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Man Kin Village Tract,မံကင်း ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101223,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Wea Gyi Village Tract,ဝဲကြီး ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
0101224,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Nawng Pwe Village Tract,နောင်ပွဲ ကျေးရွာအုပ်စု,village_tract,6610,,linked_township_only,exact_township_name,Unique township match; locality not uniquely linked
