postal_code,region_name_en,region_name_my,township_name_en,township_name_my,locality_name_en,locality_name_my,locality_type,township_admin_area_id,local_admin_area_id,match_status,match_method,review_reason
0101001,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Aye Yar Quarter,ဧရာ ရပ်ကွက်,ward,6610,6595,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101002,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Thi Dar Quarter,သီတာ ရပ်ကွက်,ward,6610,6647,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101003,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Yan Gyi Aung Quarter,ရန်ကြီးအောင် ရပ်ကွက်,ward,6610,6638,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101004,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Du Ka Htaung Quarter,ဒူကထောင် ရပ်ကွက်,ward,6610,6646,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101005,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Myo Ma Quarter,မြို့မ ရပ်ကွက်,ward,6610,6519,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101006,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Min Yat Quarter,မင်းရပ် ရပ်ကွက်,ward,6610,6354,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101007,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Shan Su (North) Quarter,ရှမ်းစုမြောက် ရပ်ကွက်,ward,6610,6349,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101008,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Shan Su (South) Quarter,ရှမ်းစုတောင် ရပ်ကွက်,ward,6610,6636,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101009,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Kachin Su Quarter,ကချင်စု ရပ်ကွက်,ward,6610,6630,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101010,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Kyun Pin Thar Quarter,ကျွန်းပင်သာ ရပ်ကွက်,ward,6610,6631,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101011,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Aye Zay Di Quarter,အေးစေတီ ရပ်ကွက်,ward,6610,6635,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101012,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Shwe Nyaung Pin Quarter,ရွှေညောင်ပင် ရပ်ကွက်,ward,6610,6634,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101013,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Myo Thit Quarter,မြို့သစ် ရပ်ကွက်,ward,6610,6418,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101014,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Aung Nan Yeik Thar Quarter,အောင်နန်းရိပ်သာ ရပ်ကွက်,ward,6610,6639,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101015,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Khay Mar Thi Ri Quarter,ခေမာသီရိ ရပ်ကွက်,ward,6610,6641,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101016,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Yu Za Na Quarter,ယုဇန ရပ်ကွက်,ward,6610,6605,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101017,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Myay Myint Quarter,မြေမြင့် ရပ်ကွက်,ward,6610,6606,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101018,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Shwe Set Quarter,ရွှေစက် ရပ်ကွက်,ward,6610,6658,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101019,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Man Khein Quarter,မန်ခိန် ရပ်ကွက်,ward,6610,6656,linked_local_area,exact_local_under_township,Unique local admin under matched township
0101020,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Tat Kone Quarter,တပ်ကုန်း ရပ်ကွက်,ward,6610,6650,linked_local_area,exact_local_under_township,Unique local admin under matched township
