postal_code,source_row_count_en,source_row_count_my,region_name_en,region_name_my,township_name_en,township_name_my,locality_name_en,locality_name_my,locality_type,township_pcode,township_admin_area_id,local_pcode,local_admin_area_id,match_status,match_method,candidate_township_pcodes,candidate_local_pcodes,review_reason
0101205,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Pam Ma Ti Village Tract,ပမ္မတီး ကျေးရွာအုပ်စု,village_tract,MMR001001,6610,MMR001001701528,6644,type_conflict,exact_township_name,MMR001001,MMR001001701528,Identity is not proven; do not guess or create geometry
0108001,1,1,Kachin State,ကချင်ပြည်နယ်,Waingmaw Township,ဝိုင်းမော် မြို့နယ်,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,ward,MMR001002,6623,,,ambiguous_local_admin,exact_township_name,MMR001002,MMR001002701501;MMR001002702501;MMR001002703501,Identity is not proven; do not guess or create geometry
0108002,1,1,Kachin State,ကချင်ပြည်နယ်,Waingmaw Township,ဝိုင်းမော် မြို့နယ်,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,ward,MMR001002,6623,,,ambiguous_local_admin,exact_township_name,MMR001002,MMR001002701502;MMR001002702502;MMR001002703502,Identity is not proven; do not guess or create geometry
0108003,1,1,Kachin State,ကချင်ပြည်နယ်,Waingmaw Township,ဝိုင်းမော် မြို့နယ်,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,ward,MMR001002,6623,,,ambiguous_local_admin,exact_township_name,MMR001002,MMR001002701503;MMR001002702503;MMR001002703503,Identity is not proven; do not guess or create geometry
0108004,1,1,Kachin State,ကချင်ပြည်နယ်,Waingmaw Township,ဝိုင်းမော် မြို့နယ်,No (4 Quarter,အမှတ် (၄) ရပ်ကွက်,ward,MMR001002,6623,,,ambiguous_local_admin,exact_township_name,MMR001002,MMR001002701504;MMR001002702504,Identity is not proven; do not guess or create geometry
0108005,1,1,Kachin State,ကချင်ပြည်နယ်,Waingmaw Township,ဝိုင်းမော် မြို့နယ်,No (5) Quarter,အမှတ် (၅) ရပ်ကွက်,ward,MMR001002,6623,,,ambiguous_local_admin,exact_township_name,MMR001002,MMR001002701505;MMR001002702505,Identity is not proven; do not guess or create geometry
0110009,1,1,Kachin State,ကချင်ပြည်နယ်,Mogaung Township,မိုးကောင်း မြို့နယ်,Myo U Quarter,မြို့ဦး ရပ်ကွက်,ward,MMR001008,6660,,,ambiguous_local_admin,exact_township_name,MMR001008,MMR001008701509;MMR001008702502,Identity is not proven; do not guess or create geometry
0110200,1,1,Kachin State,ကချင်ပြည်နယ်,Mogaung Township,မိုးကောင်း မြို့နယ်,Ywar Thit Village Tract,ရွာသစ် ကျေးရွာအုပ်စု,village_tract,MMR001008,6660,MMR001008701507,6662,type_conflict,exact_township_name,MMR001008,MMR001008701507,Identity is not proven; do not guess or create geometry
0112001,1,1,Kachin State,ကချင်ပြည်နယ်,Shwegu Township,ရွှေကူ မြို့နယ်,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,ward,MMR001011,6589,,,ambiguous_local_admin,exact_township_name,MMR001011,MMR001011701501;MMR001011702501,Identity is not proven; do not guess or create geometry
0112002,1,1,Kachin State,ကချင်ပြည်နယ်,Shwegu Township,ရွှေကူ မြို့နယ်,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,ward,MMR001011,6589,,,ambiguous_local_admin,exact_township_name,MMR001011,MMR001011701502;MMR001011702502,Identity is not proven; do not guess or create geometry
0112003,1,1,Kachin State,ကချင်ပြည်နယ်,Shwegu Township,ရွှေကူ မြို့နယ်,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,ward,MMR001011,6589,,,ambiguous_local_admin,exact_township_name,MMR001011,MMR001011701503;MMR001011702503,Identity is not proven; do not guess or create geometry
0112004,1,1,Kachin State,ကချင်ပြည်နယ်,Shwegu Township,ရွှေကူ မြို့နယ်,No (4) Quarter,အမှတ် (၄) ရပ်ကွက်,ward,MMR001011,6589,,,ambiguous_local_admin,exact_township_name,MMR001011,MMR001011701504;MMR001011702504,Identity is not proven; do not guess or create geometry
0113220,1,1,Kachin State,ကချင်ပြည်နယ်,Bhamo Township,ဗန်းမော် မြို့နယ်,Han Te Village Tract,ဟန်းတဲ ကျေးရွာအုပ်စု,village_tract,MMR001010,6612,MMR001010701515,,type_conflict,exact_township_name,MMR001010,MMR001010701515,Identity is not proven; do not guess or create geometry
0113244,1,1,Kachin State,ကချင်ပြည်နယ်,Bhamo Township,ဗန်းမော် မြို့နယ်,Aung Thar Village Tract,အောင်သာ ကျေးရွာအုပ်စု,village_tract,MMR001010,6612,MMR001010701516,,type_conflict,exact_township_name,MMR001010,MMR001010701516,Identity is not proven; do not guess or create geometry
0163001,1,1,Kachin State,ကချင်ပြည်နယ်,Sadung Town,ဆဒုံး မြို့,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,ward,MMR001002,6623,,,ambiguous_local_admin,exact_town_to_parent_township,MMR001002,MMR001002701501;MMR001002702501;MMR001002703501,Identity is not proven; do not guess or create geometry
0163002,1,1,Kachin State,ကချင်ပြည်နယ်,Sadung Town,ဆဒုံး မြို့,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,ward,MMR001002,6623,,,ambiguous_local_admin,exact_town_to_parent_township,MMR001002,MMR001002701502;MMR001002702502;MMR001002703502,Identity is not proven; do not guess or create geometry
0163003,1,1,Kachin State,ကချင်ပြည်နယ်,Sadung Town,ဆဒုံး မြို့,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,ward,MMR001002,6623,,,ambiguous_local_admin,exact_town_to_parent_township,MMR001002,MMR001002701503;MMR001002702503;MMR001002703503,Identity is not proven; do not guess or create geometry
0163004,1,1,Kachin State,ကချင်ပြည်နယ်,Sadung Town,ဆဒုံး မြို့,No (4) Quarter,အမှတ် (၄) ရပ်ကွက်,ward,MMR001002,6623,,,ambiguous_local_admin,exact_town_to_parent_township,MMR001002,MMR001002701504;MMR001002702504,Identity is not proven; do not guess or create geometry
