postal_code,source_row_count_en,source_row_count_my,region_name_en,region_name_my,township_name_en,township_name_my,locality_name_en,locality_name_my,locality_type,township_pcode,township_admin_area_id,local_pcode,local_admin_area_id,match_status,match_method,candidate_township_pcodes,candidate_local_pcodes,review_reason
0101001,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Aye Yar Quarter,ဧရာ ရပ်ကွက်,ward,MMR001001,6610,MMR001001701501,6595,exact_local_admin_match,exact_township_name,MMR001001,MMR001001701501,
0101002,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Thi Dar Quarter,သီတာ ရပ်ကွက်,ward,MMR001001,6610,MMR001001701502,6647,exact_local_admin_match,exact_township_name,MMR001001,MMR001001701502,
0101003,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Yan Gyi Aung Quarter,ရန်ကြီးအောင် ရပ်ကွက်,ward,MMR001001,6610,MMR001001701503,6638,exact_local_admin_match,exact_township_name,MMR001001,MMR001001701503,
0101004,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Du Ka Htaung Quarter,ဒူကထောင် ရပ်ကွက်,ward,MMR001001,6610,MMR001001701504,6646,exact_local_admin_match,exact_township_name,MMR001001,MMR001001701504,
0101005,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Myo Ma Quarter,မြို့မ ရပ်ကွက်,ward,MMR001001,6610,MMR001001701505,6519,exact_local_admin_match,exact_township_name,MMR001001,MMR001001701505,
0101006,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Min Yat Quarter,မင်းရပ် ရပ်ကွက်,ward,MMR001001,6610,MMR001001701506,6354,exact_local_admin_match,exact_township_name,MMR001001,MMR001001701506,
0101007,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Shan Su (North) Quarter,ရှမ်းစုမြောက် ရပ်ကွက်,ward,MMR001001,6610,MMR001001701507,6349,exact_local_admin_match,exact_township_name,MMR001001,MMR001001701507,
0101008,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Shan Su (South) Quarter,ရှမ်းစုတောင် ရပ်ကွက်,ward,MMR001001,6610,MMR001001701508,6636,exact_local_admin_match,exact_township_name,MMR001001,MMR001001701508,
0101009,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Kachin Su Quarter,ကချင်စု ရပ်ကွက်,ward,MMR001001,6610,MMR001001701509,6630,exact_local_admin_match,exact_township_name,MMR001001,MMR001001701509,
0101010,1,1,Kachin State,ကချင်ပြည်နယ်,Myitkyina Township,မြစ်ကြီးနား မြို့နယ်,Kyun Pin Thar Quarter,ကျွန်းပင်သာ ရပ်ကွက်,ward,MMR001001,6610,MMR001001701510,6631,exact_local_admin_match,exact_township_name,MMR001001,MMR001001701510,
